symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
ORDIUSDT,SHORT,2024-01-03 20:05:00,75.892,2024-01-03 20:10:00,65.775,2.6353238813050126,26.66,13.33,TRAILING_STOP,1
1000BONKUSDT,SHORT,2024-01-03 20:05:00,0.01244,2024-01-03 20:10:00,0.010126,16077.170418006432,37.20,18.60,TRAILING_STOP,1
SOLUSDT,SHORT,2024-01-03 20:10:00,85.176,2024-01-03 20:10:00,91.99008,2.348079271156194,-16.00,-8.00,STOP_LOSS,0
SEIUSDT,LONG,2024-01-03 21:15:00,0.8031,2024-01-03 21:25:00,0.7388520000000001,249.03498941601293,-16.00,-8.00,STOP_LOSS,2
SEIUSDT,LONG,2024-01-04 00:00:00,0.845,2024-01-04 03:40:00,0.8475,236.68639053254438,0.59,0.30,TRAILING_STOP,44
ETHUSDT,SHORT,2024-01-03 20:10:00,2087.13,2024-01-04 22:45:00,2254.1004000000003,0.09582536784963083,-16.00,-8.00,STOP_LOSS,319
BTCUSDT,SHORT,2024-01-03 20:10:00,40456.9,2024-01-04 22:50:00,43693.452000000005,0.004943532500018538,-16.00,-8.00,STOP_LOSS,320
ARBUSDT,LONG,2024-01-04 23:00:00,2.0424,2024-01-05 01:15:00,2.075052,97.92401096748922,3.20,1.60,TRAILING_STOP,27
SEIUSDT,LONG,2024-01-08 20:15:00,0.6955,2024-01-09 03:30:00,0.706874,287.56290438533426,3.27,1.64,TRAILING_STOP,87
1000BONKUSDT,LONG,2024-01-09 13:00:00,0.013238,2024-01-09 15:15:00,0.013389,15108.022359873094,2.28,1.14,TRAILING_STOP,27
SOLUSDT,LONG,2024-01-10 05:15:00,105.506,2024-01-10 05:15:00,97.06552,1.895626788997782,-16.00,-8.00,STOP_LOSS,0
TIAUSDT,LONG,2024-01-10 05:15:00,16.1091,2024-01-10 05:55:00,14.820372000000003,12.415342880732007,-16.00,-8.00,STOP_LOSS,8
OPUSDT,LONG,2024-01-10 06:10:00,3.6212,2024-01-10 08:20:00,3.6614,55.230310394344414,2.22,1.11,TRAILING_STOP,26
SEIUSDT,LONG,2024-01-11 06:00:00,0.7356,2024-01-11 06:10:00,0.7278,271.8868950516585,-2.12,-1.06,TRAILING_STOP,2
1000BONKUSDT,LONG,2024-01-11 06:35:00,0.017596,2024-01-11 07:30:00,0.016188320000000003,11366.219595362581,-16.00,-8.00,STOP_LOSS,11
ETCUSDT,LONG,2024-01-11 07:15:00,26.371,2024-01-11 09:45:00,26.798,7.5840885821546395,3.24,1.62,TRAILING_STOP,30
BCHUSDT,LONG,2024-01-11 20:00:00,276.43,2024-01-11 22:50:00,283.7002,0.723510472814094,5.26,2.63,TRAILING_STOP,34
WIFUSDT,SHORT,2024-01-20 00:45:00,0.3232,2024-01-20 01:35:00,0.34905600000000003,618.8118811881188,-16.00,-8.00,STOP_LOSS,10
WIFUSDT,SHORT,2024-01-23 22:00:00,0.2204,2024-01-23 22:15:00,0.21715800000000002,907.4410163339383,2.94,1.47,TRAILING_STOP,3
WIFUSDT,LONG,2024-01-24 07:30:00,0.271,2024-01-24 07:35:00,0.27528199999999997,738.0073800738007,3.16,1.58,TRAILING_STOP,1
WIFUSDT,LONG,2024-01-24 11:10:00,0.3126,2024-01-24 11:15:00,0.3152,639.7952655150352,1.66,0.83,TRAILING_STOP,1
