symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
ORDIUSDT,SHORT,2024-01-03 20:05:00,75.892,2024-01-03 20:10:00,65.775,2.6353238813050126,26.66,13.33,TRAILING_STOP,1
1000BONKUSDT,SHORT,2024-01-03 20:05:00,0.01244,2024-01-03 20:10:00,0.010126,16077.170418006432,37.20,18.60,TRAILING_STOP,1
SOLUSDT,SHORT,2024-01-03 20:10:00,85.176,2024-01-03 20:10:00,93.6936,2.348079271156194,-20.00,-10.00,STOP_LOSS,0
SEIUSDT,LONG,2024-01-03 21:15:00,0.8031,2024-01-04 06:05:00,0.839895,249.03498941601293,9.16,4.58,TRAILING_STOP,106
BTCUSDT,SHORT,2024-01-03 20:10:00,40456.9,2024-01-05 04:35:00,44502.590000000004,0.004943532500018538,-20.00,-10.00,STOP_LOSS,389
ARBUSDT,LONG,2024-01-04 23:00:00,2.0424,2024-01-06 00:55:00,1.8381600000000002,97.92401096748922,-20.00,-10.00,STOP_LOSS,311
ETHUSDT,SHORT,2024-01-03 20:10:00,2087.13,2024-01-09 01:50:00,2295.8430000000003,0.09582536784963083,-20.00,-10.00,STOP_LOSS,1508
1000BONKUSDT,LONG,2024-01-09 13:00:00,0.013238,2024-01-10 12:45:00,0.0159885,15108.022359873094,41.55,20.78,TRAILING_STOP,285
SOLUSDT,LONG,2024-01-10 05:15:00,105.506,2024-01-10 20:25:00,94.9554,1.895626788997782,-20.00,-10.00,STOP_LOSS,182
TIAUSDT,LONG,2024-01-10 05:15:00,16.1091,2024-01-10 20:45:00,14.498190000000001,12.415342880732007,-20.00,-10.00,STOP_LOSS,186
OPUSDT,LONG,2024-01-10 06:10:00,3.6212,2024-01-11 04:10:00,3.7876499999999997,55.230310394344414,9.19,4.60,TRAILING_STOP,264
SEIUSDT,LONG,2024-01-08 20:15:00,0.6955,2024-01-11 06:15:00,0.7576,287.56290438533426,17.86,8.93,TRAILING_STOP,696
1000BONKUSDT,LONG,2024-01-11 06:35:00,0.017596,2024-01-11 07:40:00,0.0158364,11366.219595362581,-20.00,-10.00,STOP_LOSS,13
ETCUSDT,LONG,2024-01-11 07:15:00,26.371,2024-01-11 20:20:00,30.6565,7.5840885821546395,32.50,16.25,TRAILING_STOP,157
BCHUSDT,LONG,2024-01-11 20:00:00,276.43,2024-01-15 03:50:00,248.787,0.723510472814094,-20.00,-10.00,STOP_LOSS,958
WIFUSDT,SHORT,2024-01-20 00:45:00,0.3232,2024-01-20 01:45:00,0.35552,618.8118811881188,-20.00,-10.00,STOP_LOSS,12
WIFUSDT,SHORT,2024-01-23 22:00:00,0.2204,2024-01-24 06:40:00,0.24244000000000004,907.4410163339383,-20.00,-10.00,STOP_LOSS,104
WIFUSDT,LONG,2024-01-24 07:30:00,0.271,2024-01-24 09:00:00,0.28348,738.0073800738007,9.21,4.61,TRAILING_STOP,18
WIFUSDT,LONG,2024-01-24 11:10:00,0.3126,2024-01-24 12:35:00,0.32755999999999996,639.7952655150352,9.57,4.79,TRAILING_STOP,17
WIFUSDT,LONG,2024-01-28 19:55:00,0.366,2024-01-29 06:35:00,0.3294,546.448087431694,-20.00,-10.00,STOP_LOSS,128
WIFUSDT,SHORT,2024-02-07 09:55:00,0.1778,2024-02-08 04:25:00,0.19558000000000003,1124.8593925759278,-20.00,-10.00,STOP_LOSS,222
