symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
BROCCOLIF3BUSDT,LONG,2026-07-23 10:10:00,0.006033,2026-07-23 10:10:00,0.0054297,8287.75070445881,-5.00,-10.00,STOP_LOSS,0
RIFUSDT,LONG,2026-07-23 10:05:00,0.07361,2026-07-23 10:20:00,0.082256,679.2555359326179,5.87,11.75,TRAILING_STOP,3
OUSDT,LONG,2026-07-23 10:20:00,0.7283,2026-07-23 10:35:00,0.753884,68.6530275985171,1.76,3.51,TRAILING_STOP,3
BANKUSDT,LONG,2026-07-23 09:10:00,0.25258,2026-07-23 10:55:00,0.22732200000000002,197.9570829044263,-5.00,-10.00,STOP_LOSS,21
ERAUSDT,LONG,2026-07-23 11:25:00,0.1081,2026-07-23 12:05:00,0.1133348,462.53469010175763,2.42,4.84,TRAILING_STOP,8
ONUSDT,LONG,2026-07-23 12:00:00,0.17821,2026-07-23 12:20:00,0.17781,280.5678693676,-0.11,-0.22,TRAILING_STOP,4
PROMUSDT,LONG,2026-07-23 12:15:00,1.475,2026-07-23 12:30:00,1.5617,33.89830508474576,2.94,5.88,TRAILING_STOP,3
BROCCOLIF3BUSDT,LONG,2026-07-23 12:45:00,0.006194,2026-07-23 12:55:00,0.006394,8072.328059412334,1.61,3.23,TRAILING_STOP,2
DODOXUSDT,LONG,2026-07-23 12:15:00,0.021734,2026-07-23 14:05:00,0.0195606,2300.542928131039,-5.00,-10.00,STOP_LOSS,22
OUSDT,LONG,2026-07-23 14:10:00,0.6253,2026-07-23 14:15:00,0.6446,79.96161842315689,1.54,3.09,TRAILING_STOP,1
BROCCOLIF3BUSDT,LONG,2026-07-23 14:30:00,0.006093,2026-07-23 14:35:00,0.006384,8206.138191367143,2.39,4.78,TRAILING_STOP,1
ZKCUSDT,LONG,2026-07-23 15:00:00,0.04685,2026-07-23 15:10:00,0.0511966,1067.2358591248665,4.64,9.28,TRAILING_STOP,2
BARDUSDT,LONG,2026-07-23 17:00:00,0.1393,2026-07-23 17:30:00,0.14210499999999998,358.9375448671931,1.01,2.01,TRAILING_STOP,6
IDOLUSDT,LONG,2026-07-23 18:05:00,0.01804,2026-07-23 18:25:00,0.02249,2771.6186252771618,12.33,24.67,TRAILING_STOP,4
UBUSDT,LONG,2026-07-23 17:00:00,0.12829,2026-07-23 19:05:00,0.1316678,389.74199080208905,1.32,2.63,TRAILING_STOP,25
ERAUSDT,LONG,2026-07-23 14:40:00,0.11046,2026-07-23 20:00:00,0.099414,452.6525439072968,-5.00,-10.00,STOP_LOSS,64
RIFUSDT,LONG,2026-07-23 22:45:00,0.10178,2026-07-24 00:00:00,0.11022,491.2556494399686,4.15,8.29,TRAILING_STOP,15
REUSDT,LONG,2026-07-23 23:55:00,0.5159,2026-07-24 00:00:00,0.5227,96.91800736576856,0.66,1.32,TRAILING_STOP,1
AKEUSDT,LONG,2026-07-24 00:15:00,0.0022792,2026-07-24 01:00:00,0.002460502,21937.52193752194,3.98,7.95,TRAILING_STOP,9
LAUSDT,LONG,2026-07-23 23:45:00,0.06217,2026-07-24 02:00:00,0.0647572,804.2464211034261,2.08,4.16,TRAILING_STOP,27
RIFUSDT,LONG,2026-07-24 02:35:00,0.1001,2026-07-24 02:55:00,0.102432,499.50049950049953,1.16,2.33,TRAILING_STOP,4
AKEUSDT,LONG,2026-07-24 02:35:00,0.0023869,2026-07-24 04:00:00,0.0021482100000000002,20947.672713561522,-5.00,-10.00,STOP_LOSS,17
BILLUSDT,LONG,2026-07-23 22:05:00,0.02798,2026-07-24 04:20:00,0.0310885,1786.99070764832,5.55,11.11,TRAILING_STOP,75
ESPORTSUSDT,LONG,2026-07-24 04:25:00,0.03287,2026-07-24 04:50:00,0.035686300000000004,1521.14390021296,4.28,8.57,TRAILING_STOP,5
RIFUSDT,LONG,2026-07-24 04:25:00,0.10921,2026-07-24 05:20:00,0.1124521,457.8335317278637,1.48,2.97,TRAILING_STOP,11
CLOUSDT,LONG,2026-07-24 02:05:00,0.12773,2026-07-24 06:45:00,0.11495700000000002,391.4507163548109,-5.00,-10.00,STOP_LOSS,56
