symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
RIFUSDT,LONG,2026-07-23 10:15:00,0.07878,2026-07-23 10:20:00,0.083055,2538.7154100025386,10.85,5.43,TRAILING_STOP,1
BROCCOLIF3BUSDT,SHORT,2026-07-23 10:15:00,0.004953,2026-07-23 10:25:00,0.00534924,40379.567938623055,-16.00,-8.00,STOP_LOSS,2
OUSDT,LONG,2026-07-23 10:30:00,0.7673,2026-07-23 10:40:00,0.7402,260.65424214779097,-7.06,-3.53,TRAILING_STOP,2
DEXEUSDT,SHORT,2026-07-23 11:15:00,3.561,2026-07-23 11:20:00,3.445,56.16399887672002,6.52,3.26,TRAILING_STOP,1
ONUSDT,LONG,2026-07-23 12:00:00,0.17821,2026-07-23 12:20:00,0.17781,1122.2714774704,-0.45,-0.22,TRAILING_STOP,4
OUSDT,SHORT,2026-07-23 13:00:00,0.5898,2026-07-23 13:05:00,0.583,339.097999321804,2.31,1.15,TRAILING_STOP,1
SYNUSDT,SHORT,2026-07-23 13:15:00,0.1586,2026-07-23 13:20:00,0.1569,1261.034047919294,2.14,1.07,TRAILING_STOP,1
DODOXUSDT,LONG,2026-07-23 12:15:00,0.021734,2026-07-23 13:45:00,0.01999528,9202.171712524156,-16.00,-8.00,STOP_LOSS,18
SYNUSDT,SHORT,2026-07-23 13:45:00,0.1327,2026-07-23 13:45:00,0.14331600000000003,1507.1590052750564,-16.00,-8.00,STOP_LOSS,0
ZKCUSDT,LONG,2026-07-23 15:00:00,0.04685,2026-07-23 15:05:00,0.0517244,4268.943436499466,20.81,10.40,TRAILING_STOP,1
BARDUSDT,LONG,2026-07-23 17:00:00,0.1393,2026-07-23 17:20:00,0.1389,1435.7501794687723,-0.57,-0.29,TRAILING_STOP,4
UBUSDT,LONG,2026-07-23 17:00:00,0.12829,2026-07-23 18:25:00,0.12814,1558.9679632083562,-0.23,-0.12,TRAILING_STOP,17
DEXEUSDT,SHORT,2026-07-23 19:30:00,2.808,2026-07-23 19:45:00,3.0326400000000002,71.22507122507123,-16.00,-8.00,STOP_LOSS,3
CHRUSDT,SHORT,2026-07-23 20:45:00,0.01273,2026-07-23 20:50:00,0.01228,15710.919088766694,7.07,3.53,TRAILING_STOP,1
B2USDT,SHORT,2026-07-23 21:30:00,0.3301,2026-07-23 21:45:00,0.326,605.8770069675855,2.48,1.24,TRAILING_STOP,3
APRUSDT,SHORT,2026-07-23 20:30:00,0.1704,2026-07-23 21:50:00,0.1669,1173.7089201877934,4.11,2.05,TRAILING_STOP,16
RIFUSDT,LONG,2026-07-23 22:45:00,0.10178,2026-07-23 23:15:00,0.1027824,1965.0225977598743,1.97,0.98,TRAILING_STOP,6
AKEUSDT,LONG,2026-07-24 00:15:00,0.0022792,2026-07-24 00:20:00,0.0023092,87750.08775008775,2.63,1.32,TRAILING_STOP,1
REUSDT,LONG,2026-07-24 00:00:00,0.5227,2026-07-24 00:50:00,0.5296,382.62865888655057,2.64,1.32,TRAILING_STOP,10
LAUSDT,LONG,2026-07-23 23:45:00,0.06217,2026-07-24 01:30:00,0.06313160000000001,3216.9856844137043,3.09,1.55,TRAILING_STOP,21
ESPORTSUSDT,LONG,2026-07-24 04:30:00,0.03279,2026-07-24 04:35:00,0.03281,6099.420555047271,0.12,0.06,TRAILING_STOP,1
UBUSDT,LONG,2026-07-24 01:30:00,0.12793,2026-07-24 05:15:00,0.1323,1563.35495974361,6.83,3.42,TRAILING_STOP,45
ESPORTSUSDT,LONG,2026-07-24 05:15:00,0.03649,2026-07-24 05:20:00,0.0369852,5480.953685941354,2.71,1.36,TRAILING_STOP,1
CLOUSDT,LONG,2026-07-24 02:15:00,0.12748,2026-07-24 06:25:00,0.11728160000000001,1568.8735487919673,-16.00,-8.00,STOP_LOSS,50
DEXEUSDT,SHORT,2026-07-24 07:15:00,1.573,2026-07-24 07:20:00,1.52592,127.14558169103624,5.99,2.99,TRAILING_STOP,1
VELVETUSDT,SHORT,2026-07-24 08:45:00,0.3595,2026-07-24 08:50:00,0.3103,556.3282336578582,27.37,13.69,TRAILING_STOP,1
STARUSDT,SHORT,2026-07-24 12:00:00,0.12775,2026-07-24 12:05:00,0.12491,1565.5577299412917,4.45,2.22,TRAILING_STOP,1
AGTUSDT,LONG,2026-07-24 11:30:00,0.014241,2026-07-24 12:10:00,0.013874,14043.957587248085,-5.15,-2.58,TRAILING_STOP,8
HANAUSDT,SHORT,2026-07-24 12:30:00,0.03093,2026-07-24 12:35:00,0.0306,6466.214031684449,2.13,1.07,TRAILING_STOP,1
ONUSDT,LONG,2026-07-24 16:15:00,0.19517,2026-07-24 17:50:00,0.19864,1024.7476558897372,3.56,1.78,TRAILING_STOP,19
