time,equity
2024-01-01 08:00:00,1000.00
2024-01-02 08:00:00,1000.00
2024-01-03 08:00:00,986.54
2024-01-04 08:00:00,976.06
2024-01-05 08:00:00,980.99
2024-01-06 08:00:00,967.88
2024-01-07 08:00:00,968.18
2024-01-08 08:00:00,966.77
2024-01-09 08:00:00,968.12
2024-01-10 08:00:00,973.94
2024-01-11 08:00:00,981.60
2024-01-12 08:00:00,972.06
2024-01-13 08:00:00,950.03
2024-01-14 08:00:00,947.67
2024-01-15 08:00:00,953.84
2024-01-16 08:00:00,947.12
2024-01-17 08:00:00,946.45
2024-01-18 08:00:00,940.00
2024-01-19 08:00:00,927.54
2024-01-20 08:00:00,915.79
2024-01-21 08:00:00,916.03
2024-01-22 08:00:00,905.07
2024-01-23 08:00:00,902.49
2024-01-24 08:00:00,897.68
2024-01-25 08:00:00,906.43
2024-01-26 08:00:00,919.86
2024-01-27 08:00:00,939.80
2024-01-28 08:00:00,950.87
2024-01-29 08:00:00,943.31
2024-01-30 08:00:00,942.54
2024-01-31 08:00:00,935.97
2024-02-01 08:00:00,940.81
2024-02-02 08:00:00,943.24
2024-02-03 08:00:00,940.48
2024-02-04 08:00:00,932.15
2024-02-05 08:00:00,932.71
2024-02-06 08:00:00,930.11
2024-02-07 08:00:00,928.17
2024-02-08 08:00:00,936.17
2024-02-09 08:00:00,947.06
2024-02-10 08:00:00,978.80
2024-02-11 08:00:00,980.96
2024-02-12 08:00:00,976.79
2024-02-13 08:00:00,998.11
2024-02-14 08:00:00,1002.37
2024-02-15 08:00:00,1042.71
2024-02-16 08:00:00,1041.78
2024-02-17 08:00:00,1058.96
2024-02-18 08:00:00,1080.19
2024-02-19 08:00:00,1088.01
2024-02-20 08:00:00,1086.62
2024-02-21 08:00:00,1088.73
2024-02-22 08:00:00,1090.72
2024-02-23 08:00:00,1128.21
2024-02-24 08:00:00,1123.89
2024-02-25 08:00:00,1179.39
2024-02-26 08:00:00,1161.15
2024-02-27 08:00:00,1180.04
2024-02-28 08:00:00,1163.80
2024-02-29 08:00:00,1167.37
2024-03-01 08:00:00,1136.74
2024-03-02 08:00:00,1159.65
2024-03-03 08:00:00,1155.17
2024-03-04 08:00:00,1117.81
2024-03-05 08:00:00,1117.06
2024-03-06 08:00:00,1130.80
2024-03-07 08:00:00,1138.88
2024-03-08 08:00:00,1140.20
2024-03-09 08:00:00,1121.49
2024-03-10 08:00:00,1127.60
2024-03-11 08:00:00,1102.85
2024-03-12 08:00:00,1090.13
2024-03-13 08:00:00,1060.64
2024-03-14 08:00:00,1077.11
2024-03-15 08:00:00,1090.55
2024-03-16 08:00:00,1088.84
2024-03-17 08:00:00,1076.17
2024-03-18 08:00:00,1081.62
2024-03-19 08:00:00,1061.07
2024-03-20 08:00:00,1048.81
2024-03-21 08:00:00,1075.57
2024-03-22 08:00:00,1069.52
2024-03-23 08:00:00,1071.91
2024-03-24 08:00:00,1062.62
2024-03-25 08:00:00,1047.97
2024-03-26 08:00:00,1057.28
2024-03-27 08:00:00,1062.89
2024-03-28 08:00:00,1052.93
2024-03-29 08:00:00,1051.15
2024-03-30 08:00:00,1053.74
2024-03-31 08:00:00,1061.64
2024-04-01 08:00:00,1053.86
2024-04-02 08:00:00,1039.54
2024-04-03 08:00:00,1015.54
