symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
1000LUNCUSDT,SHORT,2024-01-02 08:05:00,0.1445,2024-01-03 08:00:00,0.13881,1384.083044982699,8.38,4.19,FUND_TIME,287
HOTUSDT,SHORT,2024-01-02 16:05:00,0.002538,2024-01-03 08:00:00,0.002462,78802.20646178094,6.12,3.06,FUND_EXIT,191
AGLDUSDT,SHORT,2024-01-02 16:05:00,1.6179,2024-01-03 16:00:00,1.4023,123.6170344273441,26.99,13.49,FUND_TIME,287
1000XECUSDT,LONG,2024-01-03 08:05:00,0.03776,2024-01-03 16:00:00,0.03795,5296.610169491525,1.01,0.51,FUND_EXIT,95
MINAUSDT,SHORT,2024-01-03 00:05:00,1.5238,2024-01-04 00:00:00,1.4174,131.250820317627,14.16,7.08,FUND_EXIT,287
STXUSDT,SHORT,2024-01-03 00:05:00,1.616,2024-01-04 00:00:00,1.6059,123.76237623762376,1.47,0.73,FUND_TIME,287
1000XECUSDT,LONG,2024-01-04 00:05:00,0.03468,2024-01-05 00:00:00,0.03603,5767.012687427912,7.92,3.96,FUND_TIME,287
MOVRUSDT,LONG,2024-01-04 08:05:00,24.631,2024-01-05 08:00:00,27.42,8.119848970809143,23.74,11.87,FUND_EXIT,287
BNBUSDT,LONG,2024-01-06 08:05:00,316.79,2024-01-06 14:55:00,300.95050000000003,0.6313330597556741,-10.00,-5.00,FUND_SL,82
BNBUSDC,LONG,2024-01-06 00:05:00,313.16,2024-01-07 00:00:00,306.5,0.6386511687316387,-3.81,-1.91,FUND_TIME,287
POWRUSDT,LONG,2024-01-08 00:05:00,0.5179,2024-01-08 06:15:00,0.492005,386.17493724657265,-10.00,-5.00,FUND_SL,74
1000XECUSDT,LONG,2024-01-07 08:05:00,0.03358,2024-01-08 06:30:00,0.031901,5955.926146515783,-9.93,-4.96,FUND_SL,269
BATUSDT,LONG,2024-01-08 00:05:00,0.2414,2024-01-08 06:35:00,0.22933,828.5004142502071,-10.00,-5.00,FUND_SL,78
POWRUSDT,LONG,2024-01-08 08:05:00,0.4972,2024-01-08 08:05:00,0.47234,402.2526146419952,-10.00,-5.00,FUND_SL,0
BSVUSDT,LONG,2024-01-08 08:05:00,78.06,2024-01-08 08:55:00,74.157,2.5621316935690492,-10.00,-5.00,FUND_SL,10
STEEMUSDT,LONG,2024-01-08 08:05:00,0.2318,2024-01-08 08:55:00,0.22021,862.8127696289905,-10.00,-5.00,FUND_SL,10
JOEUSDT,LONG,2024-01-08 00:05:00,0.6093,2024-01-08 09:40:00,0.5788349999999999,328.2455276546857,-9.06,-4.53,FUND_SL,115
BATUSDT,LONG,2024-01-08 08:05:00,0.2302,2024-01-08 10:35:00,0.21868999999999997,868.8097306689835,-10.00,-5.00,FUND_SL,30
POWRUSDT,LONG,2024-01-09 00:05:00,0.4414,2024-01-09 01:00:00,0.41933,453.1037607612143,-10.00,-5.00,FUND_SL,11
JOEUSDT,LONG,2024-01-08 16:05:00,0.5352,2024-01-09 08:00:00,0.6082,373.69207772795215,30.99,15.49,FUND_EXIT,191
POWRUSDT,LONG,2024-01-09 08:05:00,0.4512,2024-01-09 08:30:00,0.42863999999999997,443.26241134751774,-10.00,-5.00,FUND_SL,5
POLYXUSDT,LONG,2024-01-09 00:05:00,0.1781,2024-01-09 20:55:00,0.169195,1122.9646266142615,-9.36,-4.68,FUND_SL,250
1000XECUSDT,LONG,2024-01-09 08:05:00,0.03529,2024-01-09 20:55:00,0.0335255,5667.327854916407,-9.69,-4.85,FUND_SL,154
POWRUSDT,LONG,2024-01-09 16:05:00,0.4239,2024-01-09 20:55:00,0.402705,471.80938900684123,-10.00,-5.00,FUND_SL,58
POWRUSDT,LONG,2024-01-10 00:05:00,0.406,2024-01-10 04:30:00,0.3857,492.61083743842363,-10.00,-5.00,FUND_SL,53
1000XECUSDT,LONG,2024-01-10 00:05:00,0.03519,2024-01-10 04:30:00,0.033430499999999995,5683.432793407218,-10.00,-5.00,FUND_SL,53
1000XECUSDT,LONG,2024-01-10 08:05:00,0.03392,2024-01-10 16:00:00,0.03404,5896.22641509434,0.71,0.36,FUND_EXIT,95
NMRUSDT,LONG,2024-01-11 16:05:00,18.57,2024-01-12 00:00:00,18.7,10.770059235325794,1.39,0.70,FUND_EXIT,95
BTCDOMUSDT,LONG,2024-01-12 08:05:00,2094.7,2024-01-12 16:00:00,2089.9,0.09547906621473243,-0.45,-0.23,FUND_EXIT,95
1000XECUSDT,LONG,2024-01-13 16:05:00,0.03505,2024-01-14 00:00:00,0.03496,5706.134094151213,-0.52,-0.26,FUND_EXIT,95
ONGUSDT,LONG,2024-01-13 16:05:00,0.3598,2024-01-14 12:15:00,0.34181,555.864369093941,-9.42,-4.71,FUND_SL,242
TUSDT,LONG,2024-01-17 00:05:00,0.03386,2024-01-17 16:00:00,0.03226,5906.674542232723,-9.35,-4.68,FUND_EXIT,191
UMAUSDT,LONG,2024-01-19 08:05:00,2.526,2024-01-20 08:00:00,4.954,79.17656373713382,212.29,106.14,FUND_TIME,287
RLCUSDT,LONG,2024-01-20 08:05:00,2.0986,2024-01-20 09:40:00,1.9936699999999996,95.30162965786715,-10.00,-5.00,FUND_SL,19
UMAUSDT,LONG,2024-01-20 16:05:00,4.75,2024-01-20 16:40:00,4.5125,42.10526315789474,-10.00,-5.00,FUND_SL,7
1000RATSUSDT,SHORT,2024-01-20 16:05:00,0.25979,2024-01-21 00:00:00,0.26378,769.852573232226,-3.06,-1.53,FUND_EXIT,95
UMAUSDT,LONG,2024-01-21 00:05:00,4.671,2024-01-21 01:25:00,4.43745,42.81738385784628,-10.00,-5.00,FUND_SL,16
API3USDT,LONG,2024-01-20 16:05:00,2.5641,2024-01-21 12:10:00,2.435895,78.000078000078,-4.32,-2.16,FUND_SL,241
RLCUSDT,LONG,2024-01-20 16:05:00,1.8459,2024-01-21 16:00:00,1.9366,108.34823121512541,11.21,5.61,FUND_TIME,287
NMRUSDT,LONG,2024-01-20 16:05:00,18.8,2024-01-21 16:00:00,18.94,10.638297872340425,2.10,1.05,FUND_TIME,287
BANDUSDT,LONG,2024-01-21 00:05:00,1.7233,2024-01-22 00:00:00,1.6962,116.05640341205826,-2.51,-1.26,FUND_TIME,287
CTSIUSDT,LONG,2024-01-22 00:05:00,0.3029,2024-01-22 00:20:00,0.287755,660.2839220864972,-10.00,-5.00,FUND_SL,3
UMAUSDT,LONG,2024-01-21 08:05:00,4.62,2024-01-22 08:00:00,5.636,43.290043290043286,48.34,24.17,FUND_TIME,287
API3USDT,LONG,2024-01-21 16:05:00,2.5157,2024-01-22 09:10:00,2.389915,79.50073538180229,-9.60,-4.80,FUND_SL,205
UMAUSDT,LONG,2024-01-22 16:05:00,5.263,2024-01-22 17:55:00,4.9998499999999995,38.00114003420103,-10.00,-5.00,FUND_SL,22
IOTXUSDT,LONG,2024-01-22 16:05:00,0.04267,2024-01-22 22:40:00,0.040536499999999996,4687.133817670495,-10.00,-5.00,FUND_SL,79
WIFUSDT,SHORT,2024-01-22 08:05:00,0.303,2024-01-23 08:00:00,0.2335,660.0660066006601,46.50,23.25,FUND_TIME,287
CTSIUSDT,LONG,2024-01-22 16:05:00,0.2265,2024-01-23 08:00:00,0.2395,883.0022075055188,12.22,6.11,FUND_EXIT,191
CTSIUSDT,LONG,2024-01-23 16:05:00,0.2671,2024-01-23 17:25:00,0.253745,748.7832272557094,-10.00,-5.00,FUND_SL,16
KAVAUSDT,LONG,2024-01-23 16:05:00,0.7175,2024-01-23 20:40:00,0.681625,278.74564459930315,-10.00,-5.00,FUND_SL,55
UMAUSDT,LONG,2024-01-23 00:05:00,5.126,2024-01-24 00:00:00,5.682,39.01677721420211,23.82,11.91,FUND_TIME,287
UMAUSDT,LONG,2024-01-24 08:05:00,5.709,2024-01-24 23:15:00,5.42355,35.03240497460151,-9.58,-4.79,FUND_SL,182
1000XECUSDT,LONG,2024-01-24 00:05:00,0.02944,2024-01-25 00:00:00,0.03032,6793.478260869565,6.36,3.18,FUND_TIME,287
KAVAUSDT,LONG,2024-01-24 08:05:00,0.7003,2024-01-25 00:00:00,0.6951,285.591889190347,-1.42,-0.71,FUND_EXIT,191
UMAUSDT,LONG,2024-01-25 00:05:00,5.376,2024-01-25 00:20:00,5.1072,37.20238095238095,-10.00,-5.00,FUND_SL,3
TIAUSDT,LONG,2024-01-24 08:05:00,16.279,2024-01-25 08:00:00,16.2227,12.285766939001167,-0.40,-0.20,FUND_TIME,287
ARKUSDT,LONG,2024-01-25 16:05:00,0.9964,2024-01-25 16:10:00,0.9465799999999999,200.7226013649137,-10.00,-5.00,FUND_SL,1
IOTAUSDT,LONG,2024-01-25 16:05:00,0.2442,2024-01-26 16:00:00,0.2418,819.000819000819,-1.32,-0.66,FUND_TIME,287
ARKUSDT,LONG,2024-01-26 00:05:00,0.8298,2024-01-27 00:00:00,0.874,241.02193299590263,14.15,7.08,FUND_TIME,287
NMRUSDT,LONG,2024-01-26 00:05:00,19.33,2024-01-27 00:00:00,19.44,10.34661148473875,1.58,0.79,FUND_TIME,287
UMAUSDT,LONG,2024-01-26 08:05:00,5.22,2024-01-27 08:00:00,5.125,38.31417624521073,-1.78,-0.89,FUND_TIME,287
LSKUSDT,LONG,2024-01-27 00:05:00,1.24,2024-01-27 14:05:00,1.178,161.29032258064515,-9.94,-4.97,FUND_SL,168
CVXUSDT,LONG,2024-01-27 08:05:00,2.865,2024-01-27 16:00:00,2.801,69.80802792321117,-4.47,-2.23,FUND_EXIT,95
WIFUSDT,SHORT,2024-01-27 08:05:00,0.351,2024-01-28 00:00:00,0.334,569.8005698005699,9.70,4.85,FUND_EXIT,191
API3USDT,LONG,2024-01-28 08:05:00,2.9334,2024-01-28 12:00:00,2.7867299999999995,68.18026863025841,-10.00,-5.00,FUND_SL,47
1000XECUSDT,LONG,2024-01-27 16:05:00,0.03146,2024-01-28 16:00:00,0.03133,6357.279084551811,-0.60,-0.30,FUND_TIME,287
WIFUSDT,SHORT,2024-01-30 00:05:00,0.3044,2024-01-30 04:50:00,0.31962,657.030223390276,-10.00,-5.00,FUND_SL,57
NMRUSDT,LONG,2024-01-29 16:05:00,20.61,2024-01-30 08:00:00,20.68,9.70402717127608,0.77,0.39,FUND_EXIT,191
NEOUSDT,LONG,2024-01-31 16:05:00,11.522,2024-01-31 18:00:00,10.9459,17.358097552508244,-10.00,-5.00,FUND_SL,23
AXSUSDT,LONG,2024-02-01 00:05:00,7.066,2024-02-02 00:00:00,6.925,28.304557033682425,-3.77,-1.89,FUND_EXIT,287
WIFUSDT,SHORT,2024-02-01 08:05:00,0.2529,2024-02-02 00:00:00,0.2296,790.8264136022143,18.60,9.30,FUND_EXIT,191
NEOUSDT,LONG,2024-02-01 16:05:00,11.178,2024-02-02 16:00:00,11.018,17.89228842368939,-2.39,-1.20,FUND_TIME,287
WIFUSDT,LONG,2024-02-03 08:05:00,0.2637,2024-02-03 15:35:00,0.250515,758.4376185058779,-10.00,-5.00,FUND_SL,90
CVXUSDT,LONG,2024-02-04 08:05:00,2.905,2024-02-05 00:00:00,2.918,68.84681583476765,1.34,0.67,FUND_EXIT,191
WIFUSDT,SHORT,2024-02-05 08:05:00,0.2116,2024-02-05 15:25:00,0.22218000000000002,945.1795841209829,-10.00,-5.00,FUND_SL,88
JASMYUSDT,LONG,2024-02-04 16:05:00,0.005171,2024-02-05 16:00:00,0.00522,38677.23844517501,2.62,1.31,FUND_TIME,287
CVXUSDT,LONG,2024-02-05 08:05:00,3.044,2024-02-06 00:00:00,2.983,65.7030223390276,-3.79,-1.89,FUND_EXIT,191
JASMYUSDT,LONG,2024-02-06 00:05:00,0.005175,2024-02-07 00:00:00,0.00531,38647.342995169085,5.33,2.67,FUND_TIME,287
XMRUSDT,LONG,2024-02-07 00:05:00,116.45,2024-02-07 00:55:00,110.6275,1.7174753112924002,-10.00,-5.00,FUND_SL,10
LSKUSDT,LONG,2024-02-06 16:05:00,1.4682,2024-02-07 13:00:00,1.39479,136.22122326658493,-9.67,-4.84,FUND_SL,251
API3USDT,LONG,2024-02-07 16:05:00,3.2481,2024-02-07 21:55:00,3.085695,61.57445891444229,-10.00,-5.00,FUND_SL,70
HBARUSDT,LONG,2024-02-07 00:05:00,0.07307,2024-02-08 00:00:00,0.07396,2737.1014096072263,2.81,1.41,FUND_EXIT,287
XMRUSDT,LONG,2024-02-07 08:05:00,104.16,2024-02-08 08:00:00,129.02,1.9201228878648233,49.96,24.98,FUND_TIME,287
GTCUSDT,LONG,2024-02-07 16:05:00,1.131,2024-02-08 08:00:00,1.177,176.8346595932803,8.14,4.07,FUND_EXIT,191
IDUSDT,LONG,2024-02-07 16:05:00,0.4581,2024-02-08 16:00:00,0.4856,436.5858982754857,22.81,11.41,FUND_TIME,287
XMRUSDT,LONG,2024-02-08 16:05:00,118.17,2024-02-09 16:00:00,124.65,1.6924769400016924,12.86,6.43,FUND_TIME,287
1000XECUSDT,LONG,2024-02-09 00:05:00,0.03195,2024-02-10 00:00:00,0.03373,6259.7809076682315,12.07,6.03,FUND_TIME,287
BNBUSDT,LONG,2024-02-09 08:05:00,318.3,2024-02-10 08:00:00,323.88,0.6283380458686774,3.84,1.92,FUND_TIME,287
BNBUSDC,LONG,2024-02-09 08:05:00,318.28,2024-02-10 08:00:00,323.95,0.6283775292195551,3.88,1.94,FUND_TIME,287
XMRUSDT,LONG,2024-02-10 08:05:00,121.8,2024-02-10 23:15:00,115.71,1.6420361247947455,-9.37,-4.68,FUND_SL,182
XMRUSDT,LONG,2024-02-11 00:05:00,116.89,2024-02-12 00:00:00,122.9,1.7110103516126272,11.06,5.53,FUND_TIME,287
SPELLUSDT,LONG,2024-02-12 08:05:00,0.0005684,2024-02-13 00:00:00,0.0005731,351864.8838845883,1.75,0.87,FUND_EXIT,191
XMRUSDT,LONG,2024-02-12 16:05:00,122.59,2024-02-13 00:00:00,120.15,1.6314544416347172,-4.00,-2.00,FUND_EXIT,95
COTIUSDT,LONG,2024-02-13 00:05:00,0.08946,2024-02-13 08:00:00,0.08691,2235.63603845294,-5.72,-2.86,FUND_EXIT,95
BNBUSDT,LONG,2024-02-13 08:05:00,328.57,2024-02-13 16:00:00,325.65,0.6086982986882552,-1.76,-0.88,FUND_EXIT,95
BNBUSDC,LONG,2024-02-13 08:05:00,328.53,2024-02-13 16:00:00,325.77,0.6087724104343591,-1.68,-0.84,FUND_EXIT,95
