time,equity
2024-01-01 08:00:00,1000.00
2024-01-02 08:00:00,1000.00
2024-01-03 08:00:00,999.77
2024-01-04 08:00:00,1026.83
2024-01-05 08:00:00,947.28
2024-01-06 08:00:00,921.64
2024-01-07 08:00:00,939.13
2024-01-08 08:00:00,915.85
2024-01-09 08:00:00,903.59
2024-01-10 08:00:00,804.86
2024-01-11 08:00:00,797.28
2024-01-12 08:00:00,760.42
2024-01-13 08:00:00,717.52
2024-01-14 08:00:00,708.40
2024-01-15 08:00:00,680.16
2024-01-16 08:00:00,651.80
2024-01-17 08:00:00,631.84
2024-01-18 08:00:00,631.84
2024-01-19 08:00:00,608.37
2024-01-20 08:00:00,586.23
2024-01-21 08:00:00,596.07
2024-01-22 08:00:00,548.85
2024-01-23 08:00:00,516.85
2024-01-24 08:00:00,461.37
2024-01-25 08:00:00,440.79
2024-01-26 08:00:00,431.84
2024-01-27 08:00:00,449.41
2024-01-28 08:00:00,451.05
2024-01-29 08:00:00,406.47
2024-01-30 08:00:00,394.07
2024-01-31 08:00:00,437.43
2024-02-01 08:00:00,423.75
2024-02-02 08:00:00,411.86
2024-02-03 08:00:00,411.86
2024-02-04 08:00:00,414.04
2024-02-05 08:00:00,399.03
2024-02-06 08:00:00,393.35
2024-02-07 08:00:00,370.26
2024-02-08 08:00:00,346.66
2024-02-09 08:00:00,333.13
2024-02-10 08:00:00,331.74
2024-02-11 08:00:00,345.03
2024-02-12 08:00:00,350.18
2024-02-13 08:00:00,368.74
2024-02-14 08:00:00,344.34
2024-02-15 08:00:00,359.54
2024-02-16 08:00:00,380.44
2024-02-17 08:00:00,330.33
2024-02-18 08:00:00,321.88
2024-02-19 08:00:00,285.71
2024-02-20 08:00:00,281.43
2024-02-21 08:00:00,230.01
2024-02-22 08:00:00,202.00
2024-02-23 08:00:00,171.21
2024-02-24 08:00:00,213.71
2024-02-25 08:00:00,233.58
2024-02-26 08:00:00,224.63
2024-02-27 08:00:00,126.52
2024-02-28 08:00:00,57.92
2024-02-29 08:00:00,-27.94
2024-03-01 08:00:00,-73.67
2024-03-02 08:00:00,-58.62
2024-03-03 08:00:00,0.58
2024-03-04 08:00:00,-146.22
2024-03-05 08:00:00,-304.95
2024-03-06 08:00:00,-522.82
2024-03-07 08:00:00,-626.18
2024-03-08 08:00:00,-612.55
2024-03-09 08:00:00,-604.34
2024-03-10 08:00:00,-582.72
2024-03-11 08:00:00,-656.03
2024-03-12 08:00:00,-760.59
2024-03-13 08:00:00,-855.12
2024-03-14 08:00:00,-874.71
2024-03-15 08:00:00,-925.92
2024-03-16 08:00:00,-931.64
2024-03-17 08:00:00,-919.05
2024-03-18 08:00:00,-934.33
2024-03-19 08:00:00,-1013.20
2024-03-20 08:00:00,-1061.06
2024-03-21 08:00:00,-1092.84
2024-03-22 08:00:00,-1096.29
2024-03-23 08:00:00,-1187.07
2024-03-24 08:00:00,-1187.04
2024-03-25 08:00:00,-1179.30
2024-03-26 08:00:00,-1185.90
2024-03-27 08:00:00,-1220.02
2024-03-28 08:00:00,-1248.70
2024-03-29 08:00:00,-1237.53
2024-03-30 08:00:00,-1240.55
2024-03-31 08:00:00,-1272.55
2024-04-01 08:00:00,-1267.73
2024-04-02 08:00:00,-1291.52
2024-04-03 08:00:00,-1305.56
