symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
ICXUSDT,LONG,2024-01-02 08:05:00,0.2963,2024-01-02 08:10:00,0.30478,674.9915626054674,5.72,2.86,TRAILING_STOP,1
ACEUSDT,LONG,2024-01-02 12:00:00,10.6882,2024-01-02 12:10:00,11.0129,18.712224696394156,6.08,3.04,TRAILING_STOP,2
ASTRUSDT,LONG,2024-01-02 12:15:00,0.16464,2024-01-02 12:40:00,0.16791,1214.7716229348882,3.97,1.99,TRAILING_STOP,5
BANDUSDT,LONG,2024-01-02 20:45:00,2.4444,2024-01-03 01:10:00,2.248848,81.81966944853544,-16.00,-8.00,STOP_LOSS,53
BATUSDT,LONG,2024-01-03 08:15:00,0.2843,2024-01-03 08:40:00,0.287532,703.4822370735139,2.27,1.14,TRAILING_STOP,5
MAVUSDT,LONG,2024-01-03 14:45:00,0.523,2024-01-03 15:25:00,0.5339,382.40917782026764,4.17,2.08,TRAILING_STOP,8
CYBERUSDT,LONG,2024-01-03 18:10:00,8.739,2024-01-03 18:20:00,8.736,22.885913720105272,-0.07,-0.03,TRAILING_STOP,2
SKLUSDT,LONG,2024-01-03 17:10:00,0.10257,2024-01-03 20:00:00,0.0943644,1949.887881446817,-16.00,-8.00,STOP_LOSS,34
CHRUSDT,LONG,2024-01-03 17:50:00,0.2454,2024-01-03 20:00:00,0.22576800000000002,814.9959250203749,-16.00,-8.00,STOP_LOSS,26
1000RATSUSDT,SHORT,2024-01-03 20:00:00,0.2927,2024-01-03 20:05:00,0.27245,683.293474547318,13.84,6.92,TRAILING_STOP,1
ORDIUSDT,SHORT,2024-01-03 20:05:00,75.892,2024-01-03 20:10:00,65.775,2.6353238813050126,26.66,13.33,TRAILING_STOP,1
TRBUSDT,SHORT,2024-01-03 20:05:00,156.518,2024-01-03 20:10:00,124.825,1.2778083031983543,40.50,20.25,TRAILING_STOP,1
PEOPLEUSDT,LONG,2024-01-03 20:35:00,0.01618,2024-01-03 20:40:00,0.01572,12360.939431396786,-5.69,-2.84,TRAILING_STOP,1
CHRUSDT,LONG,2024-01-03 20:30:00,0.2362,2024-01-03 20:45:00,0.2383,846.740050804403,1.78,0.89,TRAILING_STOP,3
PEOPLEUSDT,LONG,2024-01-03 21:15:00,0.01784,2024-01-03 21:20:00,0.0198,11210.762331838563,21.97,10.99,TRAILING_STOP,1
SEIUSDT,LONG,2024-01-03 21:15:00,0.8031,2024-01-03 21:25:00,0.7388520000000001,249.03498941601293,-16.00,-8.00,STOP_LOSS,2
ENSUSDT,LONG,2024-01-03 21:45:00,11.619,2024-01-03 21:50:00,11.988,17.213185299939756,6.35,3.18,TRAILING_STOP,1
YGGUSDT,LONG,2024-01-03 22:05:00,0.5469,2024-01-03 22:15:00,0.503148,365.697568111172,-16.00,-8.00,STOP_LOSS,2
PEOPLEUSDT,LONG,2024-01-03 22:35:00,0.02469,2024-01-03 22:40:00,0.02483,8100.445524503848,1.13,0.57,TRAILING_STOP,1
PEOPLEUSDT,LONG,2024-01-03 23:05:00,0.03283,2024-01-03 23:10:00,0.03467,6091.989034419738,11.21,5.60,TRAILING_STOP,1
OGNUSDT,LONG,2024-01-03 23:20:00,0.1681,2024-01-03 23:25:00,0.173,1189.767995240928,5.83,2.91,TRAILING_STOP,1
POWRUSDT,LONG,2024-01-03 23:30:00,0.4713,2024-01-03 23:35:00,0.478044,424.35815828559305,2.86,1.43,TRAILING_STOP,1
SLPUSDT,LONG,2024-01-03 23:40:00,0.00394,2024-01-03 23:40:00,0.0036248,50761.42131979696,-16.00,-8.00,STOP_LOSS,0
ARPAUSDT,LONG,2024-01-04 00:10:00,0.06403,2024-01-04 00:35:00,0.058907600000000004,3123.535842573793,-16.00,-8.00,STOP_LOSS,5
SEIUSDT,LONG,2024-01-04 00:00:00,0.845,2024-01-04 03:40:00,0.8475,236.68639053254438,0.59,0.30,TRAILING_STOP,44
POWRUSDT,LONG,2024-01-04 04:50:00,0.5509,2024-01-04 04:55:00,0.5664399999999999,363.0422944273008,5.64,2.82,TRAILING_STOP,1
MOVRUSDT,LONG,2024-01-04 06:05:00,25.912,2024-01-04 06:10:00,25.912,7.718431614695894,0.00,0.00,TRAILING_STOP,1
TUSDT,LONG,2024-01-04 05:10:00,0.02961,2024-01-04 06:15:00,0.027241200000000004,6754.474839581222,-16.00,-8.00,STOP_LOSS,13
POWRUSDT,LONG,2024-01-04 08:50:00,0.6127,2024-01-04 08:55:00,0.5636840000000001,326.42402480822585,-16.00,-8.00,STOP_LOSS,1
ENSUSDT,LONG,2024-01-04 13:15:00,13.623,2024-01-04 14:00:00,13.434,14.681054099684358,-2.77,-1.39,TRAILING_STOP,9
ENSUSDT,LONG,2024-01-04 16:00:00,15.657,2024-01-04 16:05:00,15.354,12.773839177364756,-3.87,-1.94,TRAILING_STOP,1
ETHUSDT,SHORT,2024-01-03 20:10:00,2087.13,2024-01-04 22:45:00,2254.1004000000003,0.09582536784963083,-16.00,-8.00,STOP_LOSS,319
BTCUSDT,SHORT,2024-01-03 20:10:00,40456.9,2024-01-04 22:50:00,43693.452000000005,0.004943532500018538,-16.00,-8.00,STOP_LOSS,320
1000RATSUSDT,SHORT,2024-01-04 09:25:00,0.23697,2024-01-04 23:00:00,0.2559276,843.9886905515467,-16.00,-8.00,STOP_LOSS,163
ARBUSDT,LONG,2024-01-04 23:00:00,2.0424,2024-01-05 01:15:00,2.075052,97.92401096748922,3.20,1.60,TRAILING_STOP,27
YGGUSDT,LONG,2024-01-04 18:00:00,0.6208,2024-01-05 01:45:00,0.5711360000000001,322.16494845360825,-16.00,-8.00,STOP_LOSS,93
1000RATSUSDT,LONG,2024-01-05 04:45:00,0.26744,2024-01-05 05:15:00,0.27266,747.8312892611426,3.90,1.95,TRAILING_STOP,6
STORJUSDT,LONG,2024-01-05 08:15:00,0.6824,2024-01-05 09:45:00,0.627808,293.08323563892145,-16.00,-8.00,STOP_LOSS,18
ARPAUSDT,LONG,2024-01-05 15:30:00,0.07195,2024-01-05 16:45:00,0.07317,2779.708130646282,3.39,1.70,TRAILING_STOP,15
USTCUSDT,LONG,2024-01-05 00:05:00,0.0295,2024-01-05 18:55:00,0.02714,6779.661016949153,-16.00,-8.00,STOP_LOSS,226
PEOPLEUSDT,LONG,2024-01-05 18:50:00,0.03147,2024-01-05 18:55:00,0.0327222,6355.258976803305,7.96,3.98,TRAILING_STOP,1
POWRUSDT,LONG,2024-01-05 19:30:00,0.6666,2024-01-05 19:35:00,0.69678,300.03000300030004,9.05,4.53,TRAILING_STOP,1
POLYXUSDT,LONG,2024-01-05 19:40:00,0.191,2024-01-05 20:05:00,0.194,1047.1204188481674,3.14,1.57,TRAILING_STOP,5
PEOPLEUSDT,LONG,2024-01-05 19:40:00,0.03471,2024-01-05 20:20:00,0.03427,5762.028233938347,-2.54,-1.27,TRAILING_STOP,8
TRBUSDT,LONG,2024-01-05 21:55:00,153.239,2024-01-05 22:00:00,149.268,1.3051507775435758,-5.18,-2.59,TRAILING_STOP,1
