symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
ACEUSDT,LONG,2024-01-02 12:00:00,10.6882,2024-01-03 00:10:00,9.61938,18.712224696394156,-20.00,-10.00,STOP_LOSS,146
BANDUSDT,LONG,2024-01-02 20:45:00,2.4444,2024-01-03 08:25:00,2.19996,81.81966944853544,-20.00,-10.00,STOP_LOSS,140
ASTRUSDT,LONG,2024-01-02 12:15:00,0.16464,2024-01-03 15:50:00,0.181526,1214.7716229348882,20.51,10.26,TRAILING_STOP,331
ICXUSDT,LONG,2024-01-02 08:05:00,0.2963,2024-01-03 19:55:00,0.26667,674.9915626054674,-20.00,-10.00,STOP_LOSS,430
BATUSDT,LONG,2024-01-03 08:15:00,0.2843,2024-01-03 20:00:00,0.25587,703.4822370735139,-20.00,-10.00,STOP_LOSS,141
MAVUSDT,LONG,2024-01-03 14:45:00,0.523,2024-01-03 20:00:00,0.4707,382.40917782026764,-20.00,-10.00,STOP_LOSS,63
SKLUSDT,LONG,2024-01-03 17:10:00,0.10257,2024-01-03 20:05:00,0.09231299999999999,1949.887881446817,-20.00,-10.00,STOP_LOSS,35
CHRUSDT,LONG,2024-01-03 17:50:00,0.2454,2024-01-03 20:05:00,0.22086,814.9959250203749,-20.00,-10.00,STOP_LOSS,27
ORDIUSDT,SHORT,2024-01-03 20:05:00,75.892,2024-01-03 20:10:00,65.775,2.6353238813050126,26.66,13.33,TRAILING_STOP,1
CHRUSDT,LONG,2024-01-03 20:30:00,0.2362,2024-01-03 20:55:00,0.2489,846.740050804403,10.75,5.38,TRAILING_STOP,5
SEIUSDT,LONG,2024-01-03 21:15:00,0.8031,2024-01-04 06:05:00,0.839895,249.03498941601293,9.16,4.58,TRAILING_STOP,106
MOVRUSDT,LONG,2024-01-04 06:15:00,25.771,2024-01-04 06:55:00,26.894,7.76066120833495,8.72,4.36,TRAILING_STOP,8
POWRUSDT,LONG,2024-01-04 08:50:00,0.6127,2024-01-04 08:55:00,0.5514300000000001,326.42402480822585,-20.00,-10.00,STOP_LOSS,1
BTCUSDT,SHORT,2024-01-03 20:10:00,40456.9,2024-01-05 04:35:00,44502.590000000004,0.004943532500018538,-20.00,-10.00,STOP_LOSS,389
1000RATSUSDT,SHORT,2024-01-04 09:25:00,0.23697,2024-01-05 04:35:00,0.260667,843.9886905515467,-20.00,-10.00,STOP_LOSS,230
STORJUSDT,LONG,2024-01-05 08:15:00,0.6824,2024-01-05 22:40:00,0.61416,293.08323563892145,-20.00,-10.00,STOP_LOSS,173
PEOPLEUSDT,LONG,2024-01-06 05:25:00,0.03658,2024-01-06 06:35:00,0.03954,5467.468562055768,16.18,8.09,TRAILING_STOP,14
POWRUSDT,LONG,2024-01-06 12:40:00,0.8188,2024-01-07 01:55:00,0.9102,244.2598925256473,22.33,11.16,TRAILING_STOP,159
PEOPLEUSDT,SHORT,2024-01-07 07:05:00,0.03905,2024-01-07 13:05:00,0.04295500000000001,5121.638924455826,-20.00,-10.00,STOP_LOSS,72
POWRUSDT,LONG,2024-01-07 15:00:00,1.0785,2024-01-07 16:30:00,1.14855,185.4427445526194,12.99,6.50,TRAILING_STOP,18
POWRUSDT,SHORT,2024-01-07 17:00:00,0.7693,2024-01-07 17:10:00,0.7447,259.97660210581046,6.40,3.20,TRAILING_STOP,2
