symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
ICXUSDT,LONG,2024-01-02 08:05:00,0.2963,2024-01-02 08:20:00,0.305074,337.4957813027337,2.96,2.96,TRAILING_STOP,3
ACEUSDT,LONG,2024-01-02 12:00:00,10.6882,2024-01-02 12:15:00,11.142306,9.356112348197078,4.25,4.25,TRAILING_STOP,3
ASTRUSDT,LONG,2024-01-02 12:15:00,0.16464,2024-01-02 12:50:00,0.171157,607.3858114674441,3.96,3.96,TRAILING_STOP,7
BATUSDT,LONG,2024-01-03 08:15:00,0.2843,2024-01-03 08:40:00,0.287532,351.74111853675697,1.14,1.14,TRAILING_STOP,5
MAVUSDT,LONG,2024-01-03 14:45:00,0.523,2024-01-03 15:30:00,0.5397839999999999,191.20458891013382,3.21,3.21,TRAILING_STOP,9
SKLUSDT,LONG,2024-01-03 17:10:00,0.10257,2024-01-03 18:45:00,0.0964158,974.9439407234084,-6.00,-6.00,STOP_LOSS,19
CYBERUSDT,LONG,2024-01-03 18:10:00,8.739,2024-01-03 19:05:00,9.387,11.442956860052636,7.42,7.42,TRAILING_STOP,11
CHRUSDT,LONG,2024-01-03 17:50:00,0.2454,2024-01-03 19:50:00,0.2394,407.49796251018745,-2.44,-2.44,MAX_HOLD,24
ARPAUSDT,LONG,2024-01-04 00:10:00,0.06403,2024-01-04 00:30:00,0.0601882,1561.7679212868966,-6.00,-6.00,STOP_LOSS,4
SEIUSDT,LONG,2024-01-04 00:00:00,0.845,2024-01-04 02:00:00,0.8463,118.34319526627219,0.15,0.15,MAX_HOLD,24
LDOUSDT,LONG,2024-01-04 00:30:00,3.4613,2024-01-04 02:00:00,3.253622,28.890879149452516,-6.00,-6.00,STOP_LOSS,18
MOVRUSDT,LONG,2024-01-04 06:05:00,25.912,2024-01-04 06:10:00,25.912,3.859215807347947,0.00,0.00,TRAILING_STOP,1
POWRUSDT,LONG,2024-01-04 08:50:00,0.6127,2024-01-04 08:55:00,0.575938,163.21201240411293,-6.00,-6.00,STOP_LOSS,1
POWRUSDT,LONG,2024-01-04 10:45:00,0.6191,2024-01-04 10:55:00,0.581954,161.52479405588758,-6.00,-6.00,STOP_LOSS,2
ENSUSDT,LONG,2024-01-04 13:15:00,13.623,2024-01-04 14:10:00,14.14434,7.340527049842179,3.83,3.83,TRAILING_STOP,11
YGGUSDT,LONG,2024-01-04 18:00:00,0.6208,2024-01-04 19:25:00,0.583552,161.08247422680412,-6.00,-6.00,STOP_LOSS,17
