time,equity
2024-01-01 08:00:00,1000.00
2024-01-02 08:00:00,1000.00
2024-01-03 08:00:00,994.36
2024-01-04 08:00:00,931.65
2024-01-05 08:00:00,927.37
2024-01-06 08:00:00,911.81
2024-01-07 08:00:00,901.22
2024-01-08 08:00:00,899.66
2024-01-09 08:00:00,884.09
2024-01-10 08:00:00,909.85
2024-01-11 08:00:00,892.25
2024-01-12 08:00:00,880.97
2024-01-13 08:00:00,881.45
2024-01-14 08:00:00,878.97
2024-01-15 08:00:00,872.65
2024-01-16 08:00:00,872.65
2024-01-17 08:00:00,869.49
2024-01-18 08:00:00,870.17
2024-01-19 08:00:00,868.37
2024-01-20 08:00:00,874.93
2024-01-21 08:00:00,881.04
2024-01-22 08:00:00,888.72
2024-01-23 08:00:00,887.61
2024-01-24 08:00:00,897.32
2024-01-25 08:00:00,895.52
2024-01-26 08:00:00,896.20
2024-01-27 08:00:00,896.88
2024-01-28 08:00:00,901.40
2024-01-29 08:00:00,909.07
2024-01-30 08:00:00,909.07
2024-01-31 08:00:00,902.75
2024-02-01 08:00:00,906.59
2024-02-02 08:00:00,900.96
2024-02-03 08:00:00,900.96
2024-02-04 08:00:00,901.63
2024-02-05 08:00:00,905.47
2024-02-06 08:00:00,905.47
2024-02-07 08:00:00,899.15
2024-02-08 08:00:00,893.51
2024-02-09 08:00:00,894.11
2024-02-10 08:00:00,898.94
2024-02-11 08:00:00,906.61
2024-02-12 08:00:00,914.29
2024-02-13 08:00:00,914.97
2024-02-14 08:00:00,920.17
2024-02-15 08:00:00,918.37
2024-02-16 08:00:00,903.25
2024-02-17 08:00:00,898.98
2024-02-18 08:00:00,894.02
2024-02-19 08:00:00,875.75
2024-02-20 08:00:00,876.43
2024-02-21 08:00:00,895.19
2024-02-22 08:00:00,890.23
2024-02-23 08:00:00,895.43
2024-02-24 08:00:00,888.67
2024-02-25 08:00:00,896.35
2024-02-26 08:00:00,895.23
2024-02-27 08:00:00,893.43
2024-02-28 08:00:00,901.34
2024-02-29 08:00:00,910.88
2024-03-01 08:00:00,899.60
2024-03-02 08:00:00,891.04
2024-03-03 08:00:00,867.36
2024-03-04 08:00:00,873.48
2024-03-05 08:00:00,883.43
2024-03-06 08:00:00,844.23
2024-03-07 08:00:00,832.51
2024-03-08 08:00:00,785.80
2024-03-09 08:00:00,790.80
2024-03-10 08:00:00,785.84
2024-03-11 08:00:00,767.81
2024-03-12 08:00:00,761.74
2024-03-13 08:00:00,740.99
2024-03-14 08:00:00,735.35
2024-03-15 08:00:00,732.87
2024-03-16 08:00:00,693.14
2024-03-17 08:00:00,671.02
2024-03-18 08:00:00,671.25
2024-03-19 08:00:00,655.01
2024-03-20 08:00:00,647.81
2024-03-21 08:00:00,642.85
2024-03-22 08:00:00,620.74
2024-03-23 08:00:00,619.62
2024-03-24 08:00:00,620.30
2024-03-25 08:00:00,620.98
2024-03-26 08:00:00,615.34
2024-03-27 08:00:00,607.22
2024-03-28 08:00:00,589.62
2024-03-29 08:00:00,597.99
2024-03-30 08:00:00,589.87
2024-03-31 08:00:00,586.70
2024-04-01 08:00:00,584.23
2024-04-02 08:00:00,590.79
2024-04-03 08:00:00,589.66
2024-04-04 08:00:00,588.54
2024-04-05 08:00:00,586.74
2024-04-06 08:00:00,591.27
