symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
AGLDUSDT,LONG,2024-01-02 16:30:00,1.5545,2024-01-02 16:30:00,1.5311825,128.6587327114828,-3.00,-1.50,MR_SL,0
1000SATSUSDT,LONG,2024-01-02 21:50:00,0.0008027,2024-01-02 22:30:00,0.0007906595,249159.08807773763,-3.00,-1.50,MR_SL,8
ORDIUSDT,LONG,2024-01-02 22:50:00,81.18,2024-01-02 22:50:00,79.9623,2.4636610002463657,-3.00,-1.50,MR_SL,0
SKLUSDT,LONG,2024-01-03 01:20:00,0.08999,2024-01-03 01:20:00,0.0917898,2222.46916324036,4.00,2.00,MR_TP,0
LDOUSDT,LONG,2024-01-03 19:15:00,3.2145,2024-01-03 19:40:00,3.1662825,62.21807435059885,-3.00,-1.50,MR_SL,5
ARBUSDT,LONG,2024-01-03 20:05:00,1.8108,2024-01-03 20:05:00,1.7836379999999998,110.4484205875856,-3.00,-1.50,MR_SL,0
ICPUSDT,LONG,2024-01-03 20:05:00,14.22,2024-01-03 20:05:00,14.0067,14.064697609001406,-3.00,-1.50,MR_SL,0
BLURUSDT,LONG,2024-01-03 20:05:00,0.5214,2024-01-03 20:05:00,0.513579,383.5826620636747,-3.00,-1.50,MR_SL,0
YGGUSDT,LONG,2024-01-03 20:05:00,0.4862,2024-01-03 20:05:00,0.478907,411.3533525298231,-3.00,-1.50,MR_SL,0
SKLUSDT,LONG,2024-01-03 20:05:00,0.09401,2024-01-03 20:05:00,0.09259985,2127.4332517817256,-3.00,-1.50,MR_SL,0
SOLUSDT,SHORT,2024-01-03 20:15:00,94.348,2024-01-03 20:15:00,95.76321999999999,2.1198117607156486,-3.00,-1.50,MR_SL,0
ORDIUSDT,SHORT,2024-01-03 20:15:00,71.303,2024-01-03 20:15:00,72.37254499999999,2.8049310688189837,-3.00,-1.50,MR_SL,0
DOGEUSDT,SHORT,2024-01-03 20:15:00,0.08022,2024-01-03 20:15:00,0.08142329999999999,2493.143854400399,-3.00,-1.50,MR_SL,0
POWRUSDT,LONG,2024-01-03 20:40:00,0.3941,2024-01-03 20:40:00,0.401982,507.4854097944684,4.00,2.00,MR_TP,0
ETHUSDT,SHORT,2024-01-03 20:15:00,2184.85,2024-01-03 20:45:00,2217.6227499999995,0.09153946495182735,-3.00,-1.50,MR_SL,6
BTCUSDT,SHORT,2024-01-03 20:15:00,41952.5,2024-01-03 20:50:00,42581.7875,0.004767296347059174,-3.00,-1.50,MR_SL,7
PEOPLEUSDT,LONG,2024-01-03 20:50:00,0.01626,2024-01-03 20:50:00,0.0160161,12300.123001230013,-3.00,-1.50,MR_SL,0
CHRUSDT,LONG,2024-01-03 21:05:00,0.2521,2024-01-03 21:05:00,0.2483185,793.3359777865927,-3.00,-1.50,MR_SL,0
ARPAUSDT,SHORT,2024-01-03 20:50:00,0.05375,2024-01-03 21:20:00,0.054556249999999994,3720.93023255814,-3.00,-1.50,MR_SL,6
SEIUSDT,LONG,2024-01-03 21:20:00,0.7785,2024-01-03 21:20:00,0.7668225,256.9043031470777,-3.00,-1.50,MR_SL,0
PEOPLEUSDT,LONG,2024-01-03 21:50:00,0.01887,2024-01-03 21:50:00,0.0192474,10598.834128245891,4.00,2.00,MR_TP,0
CYBERUSDT,LONG,2024-01-03 21:50:00,8.269,2024-01-03 21:55:00,8.144965000000001,24.186721489902045,-3.00,-1.50,MR_SL,1
ENSUSDT,LONG,2024-01-03 22:05:00,12.389,2024-01-03 22:10:00,12.63678,16.143352974412785,4.00,2.00,MR_TP,1
YGGUSDT,LONG,2024-01-03 22:10:00,0.5248,2024-01-03 22:10:00,0.516928,381.0975609756097,-3.00,-1.50,MR_SL,0
POWRUSDT,LONG,2024-01-03 22:20:00,0.423,2024-01-03 22:20:00,0.416655,472.8132387706856,-3.00,-1.50,MR_SL,0
OGNUSDT,LONG,2024-01-03 22:25:00,0.1501,2024-01-03 22:40:00,0.15310200000000002,1332.4450366422384,4.00,2.00,MR_TP,3
ENSUSDT,LONG,2024-01-03 23:20:00,13.282,2024-01-03 23:20:00,13.08277,15.05797319680771,-3.00,-1.50,MR_SL,0
XVSUSDT,LONG,2024-01-03 23:00:00,12.252,2024-01-03 23:25:00,12.49704,16.32386549134835,4.00,2.00,MR_TP,5
SLPUSDT,LONG,2024-01-03 23:45:00,0.003811,2024-01-03 23:45:00,0.003753835,52479.66413014956,-3.00,-1.50,MR_SL,0
POWRUSDT,LONG,2024-01-03 23:55:00,0.4846,2024-01-03 23:55:00,0.47733099999999995,412.71151465125877,-3.00,-1.50,MR_SL,0
1000RATSUSDT,SHORT,2024-01-03 23:55:00,0.26096,2024-01-03 23:55:00,0.2648744,766.4009809932556,-3.00,-1.50,MR_SL,0
ENSUSDT,LONG,2024-01-04 00:00:00,13.582,2024-01-04 00:00:00,13.37827,14.725371815638344,-3.00,-1.50,MR_SL,0
YGGUSDT,LONG,2024-01-04 00:10:00,0.506,2024-01-04 00:10:00,0.51612,395.25691699604744,4.00,2.00,MR_TP,0
LDOUSDT,LONG,2024-01-04 00:35:00,3.3379,2024-01-04 00:35:00,3.2878315,59.9179124599299,-3.00,-1.50,MR_SL,0
ENSUSDT,LONG,2024-01-04 00:35:00,13.534,2024-01-04 00:35:00,13.33099,14.777597162701344,-3.00,-1.50,MR_SL,0
POWRUSDT,LONG,2024-01-04 00:55:00,0.4536,2024-01-04 01:00:00,0.44679599999999997,440.9171075837742,-3.00,-1.50,MR_SL,1
SKLUSDT,LONG,2024-01-04 01:50:00,0.09802,2024-01-04 02:15:00,0.0999804,2040.3999183840033,4.00,2.00,MR_TP,5
MAVUSDT,LONG,2024-01-04 02:55:00,0.485,2024-01-04 02:55:00,0.4947,412.37113402061857,4.00,2.00,MR_TP,0
TUSDT,LONG,2024-01-04 05:20:00,0.02892,2024-01-04 05:20:00,0.0284862,6915.629322268326,-3.00,-1.50,MR_SL,0
POWRUSDT,LONG,2024-01-04 05:25:00,0.5527,2024-01-04 05:25:00,0.5444095,361.8599601954044,-3.00,-1.50,MR_SL,0
XVSUSDT,LONG,2024-01-04 05:35:00,11.846,2024-01-04 05:35:00,11.66831,16.883336147222693,-3.00,-1.50,MR_SL,0
MOVRUSDT,LONG,2024-01-04 06:25:00,24.615,2024-01-04 06:25:00,24.245775,8.125126955108675,-3.00,-1.50,MR_SL,0
CHRUSDT,LONG,2024-01-04 06:40:00,0.2561,2024-01-04 06:45:00,0.261222,780.9449433814916,4.00,2.00,MR_TP,1
SEIUSDT,LONG,2024-01-04 06:30:00,0.7982,2024-01-04 07:00:00,0.786227,250.5637684790779,-3.00,-1.50,MR_SL,6
MOVRUSDT,LONG,2024-01-04 07:05:00,27.193,2024-01-04 07:05:00,26.785105,7.354833964623248,-3.00,-1.50,MR_SL,0
POWRUSDT,LONG,2024-01-04 07:10:00,0.5498,2024-01-04 07:15:00,0.560796,363.7686431429611,4.00,2.00,MR_TP,1
POWRUSDT,LONG,2024-01-04 09:00:00,0.5567,2024-01-04 09:00:00,0.5483494999999999,359.25992455541586,-3.00,-1.50,MR_SL,0
1000RATSUSDT,SHORT,2024-01-04 10:00:00,0.25414,2024-01-04 10:00:00,0.24905719999999998,786.9678130164477,4.00,2.00,MR_TP,0
POWRUSDT,LONG,2024-01-04 10:55:00,0.593,2024-01-04 10:55:00,0.584105,337.26812816188874,-3.00,-1.50,MR_SL,0
TUSDT,LONG,2024-01-04 14:25:00,0.02933,2024-01-04 14:25:00,0.029916599999999998,6818.956699624958,4.00,2.00,MR_TP,0
POWRUSDT,LONG,2024-01-04 16:20:00,0.597,2024-01-04 16:20:00,0.60894,335.00837520938023,4.00,2.00,MR_TP,0
ENSUSDT,LONG,2024-01-04 16:30:00,14.904,2024-01-04 16:30:00,14.680439999999999,13.419216317767042,-3.00,-1.50,MR_SL,0
POWRUSDT,LONG,2024-01-04 18:50:00,0.5636,2024-01-04 18:50:00,0.555146,354.86160397444996,-3.00,-1.50,MR_SL,0
PENDLEUSDT,LONG,2024-01-05 03:35:00,1.5137,2024-01-05 04:20:00,1.4909945,132.12657726101605,-3.00,-1.50,MR_SL,9
JTOUSDT,LONG,2024-01-05 09:50:00,1.5308,2024-01-05 09:50:00,1.507838,130.65064018813692,-3.00,-1.50,MR_SL,0
1000RATSUSDT,LONG,2024-01-05 09:50:00,0.2511,2024-01-05 09:50:00,0.256122,796.4954201513342,4.00,2.00,MR_TP,0
USTCUSDT,LONG,2024-01-05 09:50:00,0.0287,2024-01-05 09:50:00,0.0282695,6968.641114982578,-3.00,-1.50,MR_SL,0
STORJUSDT,LONG,2024-01-05 09:50:00,0.6476,2024-01-05 09:55:00,0.6605519999999999,308.83261272390365,4.00,2.00,MR_TP,1
ACEUSDT,LONG,2024-01-05 09:50:00,8.196,2024-01-05 10:00:00,8.35992,24.40214738897023,4.00,2.00,MR_TP,2
ARPAUSDT,LONG,2024-01-05 15:35:00,0.06968,2024-01-05 15:35:00,0.06863480000000001,2870.264064293915,-3.00,-1.50,MR_SL,0
ARPAUSDT,LONG,2024-01-05 17:55:00,0.07576,2024-01-05 18:10:00,0.0746236,2639.915522703274,-3.00,-1.50,MR_SL,3
PEOPLEUSDT,LONG,2024-01-05 19:00:00,0.03167,2024-01-05 19:00:00,0.031194949999999996,6315.124723713294,-3.00,-1.50,MR_SL,0
PEOPLEUSDT,LONG,2024-01-05 19:50:00,0.03397,2024-01-05 19:50:00,0.03346045,5887.54783632617,-3.00,-1.50,MR_SL,0
TRBUSDT,SHORT,2024-01-05 21:05:00,127.248,2024-01-05 21:10:00,129.15671999999998,1.571733936879165,-3.00,-1.50,MR_SL,1
