symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
ICXUSDT,LONG,2024-01-02 08:15:00,0.3059,2024-01-02 09:45:00,0.30879799999999996,653.8084341288003,1.89,0.95,TRAILING_STOP,18
FILUSDT,SHORT,2024-01-03 20:15:00,6.152,2024-01-03 20:45:00,6.64416,32.50975292587776,-16.00,-8.00,STOP_LOSS,6
AVAXUSDT,SHORT,2024-01-03 20:15:00,34.281,2024-01-03 20:45:00,37.02348,5.834135526968292,-16.00,-8.00,STOP_LOSS,6
ADAUSDT,SHORT,2024-01-03 20:15:00,0.5213,2024-01-03 20:55:00,0.5630040000000001,383.6562440053712,-16.00,-8.00,STOP_LOSS,8
CHRUSDT,LONG,2024-01-03 21:00:00,0.2635,2024-01-03 21:10:00,0.24242000000000002,759.0132827324478,-16.00,-8.00,STOP_LOSS,2
ENSUSDT,LONG,2024-01-03 21:45:00,11.619,2024-01-03 21:50:00,11.988,17.213185299939756,6.35,3.18,TRAILING_STOP,1
PEOPLEUSDT,LONG,2024-01-03 23:00:00,0.03023,2024-01-03 23:05:00,0.03283,6615.9444260668215,17.20,8.60,TRAILING_STOP,1
LINKUSDT,SHORT,2024-01-03 20:15:00,13.176,2024-01-04 00:00:00,14.230080000000001,15.179113539769277,-16.00,-8.00,STOP_LOSS,45
TRBUSDT,LONG,2024-01-05 22:15:00,166.093,2024-01-05 22:20:00,152.80555999999999,1.2041446659401662,-16.00,-8.00,STOP_LOSS,1
PEOPLEUSDT,SHORT,2024-01-07 07:15:00,0.03716,2024-01-07 08:50:00,0.0401328,5382.1313240043055,-16.00,-8.00,STOP_LOSS,19
PEOPLEUSDT,LONG,2024-01-07 13:15:00,0.04825,2024-01-07 13:30:00,0.04893,4145.077720207254,2.82,1.41,TRAILING_STOP,3
POWRUSDT,SHORT,2024-01-07 17:00:00,0.7693,2024-01-07 17:05:00,0.748884,259.97660210581046,5.31,2.65,TRAILING_STOP,1
PEOPLEUSDT,SHORT,2024-01-08 01:00:00,0.03717,2024-01-08 01:30:00,0.03772,5380.683346785041,-2.96,-1.48,TRAILING_STOP,6
DOGEUSDT,SHORT,2024-01-03 20:15:00,0.08022,2024-01-08 08:05:00,0.078489,2493.143854400399,4.32,2.16,TRAILING_STOP,1294
RIFUSDT,LONG,2024-01-10 14:30:00,0.17703,2024-01-10 14:35:00,0.1837,1129.7520194317349,7.54,3.77,TRAILING_STOP,1
XAIUSDT,LONG,2024-01-11 07:15:00,0.6226,2024-01-11 07:20:00,0.6271,321.23353678123993,1.45,0.72,TRAILING_STOP,1
XTZUSDT,LONG,2024-01-11 21:30:00,1.147,2024-01-11 21:45:00,1.164,174.36791630340016,2.96,1.48,TRAILING_STOP,3
API3USDT,LONG,2024-01-20 09:15:00,2.0245,2024-01-20 09:20:00,2.0727,98.78982464806124,4.76,2.38,TRAILING_STOP,1
RLCUSDT,LONG,2024-01-21 20:45:00,2.4302,2024-01-21 20:50:00,2.4715599999999998,82.2977532713357,3.40,1.70,TRAILING_STOP,1
CTSIUSDT,LONG,2024-01-21 21:15:00,0.2171,2024-01-21 21:20:00,0.2193,921.234454168586,2.03,1.01,TRAILING_STOP,1
ARKUSDT,LONG,2024-01-25 09:15:00,0.9287,2024-01-25 15:05:00,0.9479540000000001,215.3547970281038,4.15,2.07,TRAILING_STOP,70
CKBUSDT,LONG,2024-01-30 16:15:00,0.004175,2024-01-30 17:05:00,0.004266,47904.19161676647,4.36,2.18,TRAILING_STOP,10
OGNUSDT,LONG,2024-01-31 00:15:00,0.1851,2024-01-31 03:20:00,0.170292,1080.4970286331713,-16.00,-8.00,STOP_LOSS,37
IDUSDT,LONG,2024-02-07 12:15:00,0.4159,2024-02-07 12:20:00,0.4197,480.884828083674,1.83,0.91,TRAILING_STOP,1
GTCUSDT,LONG,2024-02-07 10:30:00,1.247,2024-02-07 14:45:00,1.1472400000000003,160.38492381716117,-16.00,-8.00,STOP_LOSS,51
BEAMXUSDT,LONG,2024-02-10 23:45:00,0.023718,2024-02-11 05:20:00,0.024005099999999998,8432.414200185513,2.42,1.21,TRAILING_STOP,67
CKBUSDT,LONG,2024-02-15 09:00:00,0.01283,2024-02-15 09:10:00,0.012678,15588.46453624318,-2.37,-1.18,TRAILING_STOP,2
RIFUSDT,LONG,2024-02-16 09:00:00,0.24587,2024-02-16 09:40:00,0.22620040000000002,813.4379956887786,-16.00,-8.00,STOP_LOSS,8
LPTUSDT,LONG,2024-02-17 19:00:00,17.252,2024-02-17 19:55:00,17.392,11.59285879897983,1.62,0.81,TRAILING_STOP,11
ZENUSDT,LONG,2024-02-17 21:15:00,10.402,2024-02-17 21:20:00,10.808,19.227071716977505,7.81,3.90,TRAILING_STOP,1
IOTXUSDT,LONG,2024-02-18 13:45:00,0.06068,2024-02-18 14:00:00,0.061739999999999996,3295.9789057350035,3.49,1.75,TRAILING_STOP,3
RLCUSDT,LONG,2024-02-18 16:45:00,3.5849,2024-02-18 16:50:00,3.6427579999999997,55.78956177299227,3.23,1.61,TRAILING_STOP,1
RLCUSDT,LONG,2024-02-20 19:00:00,3.8516,2024-02-20 19:05:00,3.8216,51.92647211548447,-1.56,-0.78,TRAILING_STOP,1
ALTUSDT,LONG,2024-02-20 19:00:00,0.50388,2024-02-20 23:25:00,0.4635696,396.9199015638644,-16.00,-8.00,STOP_LOSS,53
ARKMUSDT,LONG,2024-02-20 23:45:00,1.1381,2024-02-21 01:20:00,1.0470519999999999,175.73148229505318,-16.00,-8.00,STOP_LOSS,19
SPELLUSDT,LONG,2024-02-22 18:15:00,0.0009632,2024-02-22 18:20:00,0.001002834,207641.19601328904,8.23,4.11,TRAILING_STOP,1
UNIUSDT,LONG,2024-02-23 22:30:00,9.009,2024-02-23 22:35:00,9.716,22.2000222000222,15.70,7.85,TRAILING_STOP,1
DODOXUSDT,LONG,2024-02-23 23:15:00,0.219577,2024-02-23 23:25:00,0.20201084,910.8422102497074,-16.00,-8.00,STOP_LOSS,2
UNIUSDT,LONG,2024-02-23 23:30:00,12.416,2024-02-23 23:55:00,11.42272,16.10824742268041,-16.00,-8.00,STOP_LOSS,5
GLMUSDT,LONG,2024-02-25 08:15:00,0.3901,2024-02-25 08:20:00,0.402682,512.6890540886952,6.45,3.23,TRAILING_STOP,1
XVGUSDT,LONG,2024-02-26 05:15:00,0.00555,2024-02-26 05:20:00,0.00572418,36036.036036036036,6.28,3.14,TRAILING_STOP,1
PYTHUSDT,LONG,2024-02-27 11:00:00,0.7346,2024-02-27 13:50:00,0.7619,272.2570106180234,7.43,3.72,TRAILING_STOP,34
1000FLOKIUSDT,LONG,2024-02-27 19:45:00,0.04977,2024-02-27 22:45:00,0.04578840000000001,4018.4850311432588,-16.00,-8.00,STOP_LOSS,36
ALICEUSDT,LONG,2024-02-28 08:30:00,2.027,2024-02-28 09:20:00,2.047,98.66798223976319,1.97,0.99,TRAILING_STOP,10
1000BONKUSDT,LONG,2024-02-28 18:15:00,0.016538,2024-02-28 18:30:00,0.016614,12093.360744951022,0.92,0.46,TRAILING_STOP,3
1000SATSUSDT,LONG,2024-02-28 18:45:00,0.0005807,2024-02-28 19:00:00,0.0005809,344411.91665231617,0.07,0.03,TRAILING_STOP,3
CFXUSDT,LONG,2024-02-28 22:00:00,0.2903,2024-02-29 01:25:00,0.26707600000000004,688.9424733034791,-16.00,-8.00,STOP_LOSS,41
UMAUSDT,LONG,2024-02-29 00:15:00,4.716,2024-02-29 01:25:00,4.33872,42.40882103477523,-16.00,-8.00,STOP_LOSS,14
ARUSDT,LONG,2024-02-29 02:00:00,25.273,2024-02-29 02:20:00,23.251160000000002,7.913583666363313,-16.00,-8.00,STOP_LOSS,4
CTSIUSDT,LONG,2024-02-29 02:00:00,0.446,2024-02-29 10:15:00,0.41032,448.4304932735426,-16.00,-8.00,STOP_LOSS,99
PEOPLEUSDT,LONG,2024-02-29 12:00:00,0.03806,2024-02-29 12:05:00,0.03934,5254.860746190227,6.73,3.36,TRAILING_STOP,1
PEOPLEUSDT,LONG,2024-02-29 16:45:00,0.04538,2024-02-29 16:50:00,0.0463148,4407.227853680036,4.12,2.06,TRAILING_STOP,1
ACHUSDT,LONG,2024-02-29 19:45:00,0.030794,2024-02-29 19:50:00,0.030194,6494.771708774437,-3.90,-1.95,TRAILING_STOP,1
BICOUSDT,LONG,2024-02-29 21:15:00,0.4729,2024-02-29 21:25:00,0.435068,422.9223937407486,-16.00,-8.00,STOP_LOSS,2
USTCUSDT,LONG,2024-02-29 23:30:00,0.04067,2024-03-01 00:20:00,0.0374164,4917.629702483403,-16.00,-8.00,STOP_LOSS,10
ONDOUSDT,LONG,2024-03-01 01:30:00,0.4296,2024-03-01 01:35:00,0.43443400000000004,465.54934823091247,2.25,1.13,TRAILING_STOP,1
BICOUSDT,LONG,2024-03-01 19:30:00,0.4743,2024-03-01 19:35:00,0.479514,421.674045962471,2.20,1.10,TRAILING_STOP,1
1000FLOKIUSDT,LONG,2024-03-02 04:15:00,0.09621,2024-03-02 04:45:00,0.08851320000000001,2078.785988982434,-16.00,-8.00,STOP_LOSS,6
WIFUSDT,LONG,2024-03-02 04:30:00,1.2421,2024-03-02 05:10:00,1.142732,161.01763143064167,-16.00,-8.00,STOP_LOSS,8
BATUSDT,LONG,2024-03-02 08:15:00,0.3327,2024-03-02 08:30:00,0.33604199999999995,601.1421701232341,2.01,1.00,TRAILING_STOP,3
1000SHIBUSDT,LONG,2024-03-02 08:45:00,0.020582,2024-03-02 08:50:00,0.020719,9717.22864639005,1.33,0.67,TRAILING_STOP,1
BICOUSDT,LONG,2024-03-02 22:00:00,0.5763,2024-03-02 22:05:00,0.5685,347.041471455839,-2.71,-1.35,TRAILING_STOP,1
SLPUSDT,LONG,2024-03-03 06:00:00,0.005707,2024-03-03 06:05:00,0.005666,35044.681969511126,-1.44,-0.72,TRAILING_STOP,1
GLMUSDT,LONG,2024-03-03 08:00:00,0.5363,2024-03-03 09:05:00,0.493396,372.92560134253216,-16.00,-8.00,STOP_LOSS,13
GLMUSDT,LONG,2024-03-03 14:15:00,0.6064,2024-03-03 14:20:00,0.61544,329.81530343007915,2.98,1.49,TRAILING_STOP,1
BSVUSDT,LONG,2024-03-03 08:45:00,123.89,2024-03-03 15:15:00,113.9788,1.6143352974412786,-16.00,-8.00,STOP_LOSS,78
1000PEPEUSDT,LONG,2024-03-03 18:15:00,0.0049951,2024-03-03 18:20:00,0.0051391200000000005,40039.238453684615,5.77,2.88,TRAILING_STOP,1
1000FLOKIUSDT,LONG,2024-03-03 19:45:00,0.14987,2024-03-03 19:50:00,0.155,1334.4898912390738,6.85,3.42,TRAILING_STOP,1
FETUSDT,LONG,2024-03-03 15:45:00,1.931,2024-03-04 06:50:00,1.77652,103.57327809425168,-16.00,-8.00,STOP_LOSS,181
QTUMUSDT,LONG,2024-03-04 15:00:00,4.755,2024-03-04 15:10:00,4.800039999999999,42.06098843322818,1.89,0.95,TRAILING_STOP,2
ONEUSDT,LONG,2024-03-04 20:15:00,0.0336,2024-03-04 20:20:00,0.036103199999999995,5952.380952380952,14.90,7.45,TRAILING_STOP,1
1000XECUSDT,LONG,2024-03-05 01:00:00,0.05584,2024-03-05 01:05:00,0.05777,3581.6618911174783,6.91,3.46,TRAILING_STOP,1
1000XECUSDT,LONG,2024-03-05 08:30:00,0.08018,2024-03-05 08:35:00,0.0831726,2494.387627837366,7.46,3.73,TRAILING_STOP,1
ETHWUSDT,LONG,2024-03-05 12:00:00,4.172,2024-03-05 12:05:00,4.333,47.938638542665394,7.72,3.86,TRAILING_STOP,1
ENSUSDT,LONG,2024-03-05 12:15:00,24.913,2024-03-05 12:20:00,25.94256,8.027937221530928,8.27,4.13,TRAILING_STOP,1
MTLUSDT,LONG,2024-03-05 13:30:00,2.4631,2024-03-05 13:30:00,2.266052,81.19848970809143,-16.00,-8.00,STOP_LOSS,0
THETAUSDT,LONG,2024-03-05 12:30:00,3.0723,2024-03-05 14:15:00,3.0601,65.09780945871172,-0.79,-0.40,TRAILING_STOP,21
LUNA2USDT,LONG,2024-03-05 21:30:00,1.181,2024-03-05 21:50:00,1.1464,169.3480101608806,-5.86,-2.93,TRAILING_STOP,4
LUNA2USDT,LONG,2024-03-05 22:15:00,1.4617,2024-03-05 22:20:00,1.4376,136.82698228090578,-3.30,-1.65,TRAILING_STOP,1
LSKUSDT,LONG,2024-03-06 09:00:00,3.0226,2024-03-06 09:30:00,3.001,66.16819956328987,-1.43,-0.71,TRAILING_STOP,6
ANKRUSDT,LONG,2024-03-07 16:45:00,0.05105,2024-03-07 16:50:00,0.05152,3917.7277179236044,1.84,0.92,TRAILING_STOP,1
LUNA2USDT,LONG,2024-03-07 22:00:00,1.2716,2024-03-07 22:05:00,1.169872,157.28216420257942,-16.00,-8.00,STOP_LOSS,1
STORJUSDT,LONG,2024-03-08 15:30:00,0.8961,2024-03-08 15:40:00,0.8933,223.18937618569356,-0.62,-0.31,TRAILING_STOP,2
YGGUSDT,LONG,2024-03-09 17:45:00,0.8437,2024-03-09 18:05:00,0.8324,237.05108450871163,-2.68,-1.34,TRAILING_STOP,4
SLPUSDT,LONG,2024-03-10 00:15:00,0.007961,2024-03-10 00:25:00,0.007869,25122.472051249846,-2.31,-1.16,TRAILING_STOP,2
ARKMUSDT,SHORT,2024-03-10 17:30:00,2.988,2024-03-10 17:45:00,3.22704,66.93440428380187,-16.00,-8.00,STOP_LOSS,3
EDUUSDT,LONG,2024-03-11 05:15:00,1.2685,2024-03-11 08:50:00,1.16702,157.66653527788728,-16.00,-8.00,STOP_LOSS,43
CELOUSDT,LONG,2024-03-11 21:15:00,1.426,2024-03-11 21:25:00,1.417,140.25245441795232,-1.26,-0.63,TRAILING_STOP,2
1000SATSUSDT,LONG,2024-03-12 09:15:00,0.000741,2024-03-12 11:15:00,0.00068172,269905.5330634278,-16.00,-8.00,STOP_LOSS,24
1000RATSUSDT,LONG,2024-03-12 09:15:00,0.45843,2024-03-12 11:20:00,0.4217556,436.27162271230065,-16.00,-8.00,STOP_LOSS,25
SPELLUSDT,LONG,2024-03-12 19:45:00,0.0017338,2024-03-12 19:50:00,0.0017536119999999999,115353.55865728458,2.29,1.14,TRAILING_STOP,1
ARPAUSDT,LONG,2024-03-13 05:15:00,0.11887,2024-03-13 05:55:00,0.10936040000000001,1682.5103053756204,-16.00,-8.00,STOP_LOSS,8
MOVRUSDT,LONG,2024-03-13 10:30:00,28.901,2024-03-13 10:50:00,28.148,6.920175772464621,-5.21,-2.61,TRAILING_STOP,4
DOGEUSDT,LONG,2024-03-14 12:15:00,0.19115,2024-03-14 12:50:00,0.175858,1046.2987182840702,-16.00,-8.00,STOP_LOSS,7
ARPAUSDT,LONG,2024-03-16 00:00:00,0.10833,2024-03-16 00:05:00,0.10599,1846.2106526354657,-4.32,-2.16,TRAILING_STOP,1
EDUUSDT,LONG,2024-03-19 01:45:00,1.1251,2024-03-19 01:50:00,1.169,177.76197671318104,7.80,3.90,TRAILING_STOP,1
LUNA2USDT,LONG,2024-03-23 02:45:00,1.0584,2024-03-23 05:05:00,0.973728,188.96447467876038,-16.00,-8.00,STOP_LOSS,28
ENAUSDT,LONG,2024-04-04 00:00:00,1.194,2024-04-04 00:10:00,1.185,167.50418760469012,-1.51,-0.75,TRAILING_STOP,2
AUCTIONUSDT,LONG,2024-04-11 17:15:00,25.743,2024-04-11 17:30:00,23.68356,7.76910228023152,-16.00,-8.00,STOP_LOSS,3
PORTALUSDT,SHORT,2024-04-13 01:30:00,1.1132,2024-04-13 02:10:00,1.202256,179.6622349982034,-16.00,-8.00,STOP_LOSS,8
BIGTIMEUSDT,SHORT,2024-04-13 01:30:00,0.2484,2024-04-13 02:25:00,0.2424,805.1529790660226,4.83,2.42,TRAILING_STOP,11
INJUSDT,SHORT,2024-04-13 01:30:00,27.606,2024-04-13 02:30:00,28.185,7.244801854669275,-4.19,-2.10,TRAILING_STOP,12
WUSDT,SHORT,2024-04-13 01:30:00,0.6336,2024-04-13 02:30:00,0.6347,315.65656565656565,-0.35,-0.17,TRAILING_STOP,12
1000SATSUSDT,SHORT,2024-04-13 01:30:00,0.0003903,2024-04-13 02:30:00,0.0003884,512426.3387138099,0.97,0.49,TRAILING_STOP,12
YFIUSDT,SHORT,2024-04-13 02:45:00,6583,2024-04-13 03:30:00,7109.64,0.03038128512836093,-16.00,-8.00,STOP_LOSS,9
TRBUSDT,SHORT,2024-04-13 02:45:00,63.97,2024-04-13 09:50:00,63.429,3.1264655307175238,1.69,0.85,TRAILING_STOP,85
DYDXUSDT,SHORT,2024-04-13 02:45:00,2.171,2024-04-13 12:55:00,2.34468,92.1234454168586,-16.00,-8.00,STOP_LOSS,122
GALAUSDT,SHORT,2024-04-13 02:45:00,0.04515,2024-04-13 14:35:00,0.04876200000000001,4429.678848283499,-16.00,-8.00,STOP_LOSS,142
LDOUSDT,SHORT,2024-04-13 02:45:00,1.998,2024-04-14 01:35:00,1.9368,100.10010010010011,6.13,3.06,TRAILING_STOP,274
XMRUSDT,SHORT,2024-04-14 04:15:00,108.09,2024-04-14 04:20:00,106.39620000000001,1.8503099269127579,3.13,1.57,TRAILING_STOP,1
TWTUSDT,SHORT,2024-04-14 04:15:00,0.8716,2024-04-14 04:20:00,0.8809,229.46305644791187,-2.13,-1.07,TRAILING_STOP,1
ENAUSDT,SHORT,2024-04-14 05:30:00,0.912,2024-04-14 05:50:00,0.9849600000000001,219.29824561403507,-16.00,-8.00,STOP_LOSS,4
BIGTIMEUSDT,LONG,2024-04-23 13:45:00,0.2542,2024-04-23 16:05:00,0.233864,786.7820613690009,-16.00,-8.00,STOP_LOSS,28
TUSDT,LONG,2024-04-28 08:15:00,0.03964,2024-04-28 08:40:00,0.04034,5045.408678102926,3.53,1.77,TRAILING_STOP,5
ZETAUSDT,LONG,2024-05-03 13:45:00,1.734,2024-05-03 13:55:00,1.7232,115.34025374855825,-1.25,-0.62,TRAILING_STOP,2
REZUSDT,LONG,2024-05-04 03:30:00,0.1886,2024-05-04 04:00:00,0.1921,1060.4453870625664,3.71,1.86,TRAILING_STOP,6
CELOUSDT,LONG,2024-05-08 22:30:00,0.898,2024-05-08 22:50:00,0.887,222.71714922048997,-2.45,-1.22,TRAILING_STOP,4
UMAUSDT,LONG,2024-05-09 03:45:00,3.588,2024-05-09 03:50:00,3.555,55.74136008918617,-1.84,-0.92,TRAILING_STOP,1
ENSUSDT,LONG,2024-05-21 14:00:00,21.492,2024-05-21 17:30:00,19.772640000000003,9.305788200260562,-16.00,-8.00,STOP_LOSS,42
OGNUSDT,LONG,2024-05-24 17:30:00,0.1654,2024-05-24 17:45:00,0.1677,1209.1898428053205,2.78,1.39,TRAILING_STOP,3
AUCTIONUSDT,LONG,2024-05-29 17:30:00,27.489,2024-05-29 18:00:00,25.28988,7.275637527738368,-16.00,-8.00,STOP_LOSS,6
STGUSDT,LONG,2024-05-30 15:30:00,0.5862,2024-05-30 15:35:00,0.6294,341.1804844762879,14.74,7.37,TRAILING_STOP,1
ARUSDT,LONG,2024-05-30 22:00:00,42.352,2024-05-30 22:10:00,42.85,4.722327162825841,2.35,1.18,TRAILING_STOP,2
LUNA2USDT,LONG,2024-05-30 23:30:00,0.723,2024-05-30 23:35:00,0.764,276.62517289073304,11.34,5.67,TRAILING_STOP,1
USTCUSDT,LONG,2024-05-30 23:45:00,0.02636,2024-05-31 00:15:00,0.024251200000000004,7587.253414264036,-16.00,-8.00,STOP_LOSS,6
BEAMXUSDT,LONG,2024-05-31 14:30:00,0.036142,2024-05-31 14:30:00,0.033250640000000005,5533.728072602512,-16.00,-8.00,STOP_LOSS,0
NOTUSDT,LONG,2024-06-02 03:30:00,0.016322,2024-06-02 10:30:00,0.016615,12253.400318588408,3.59,1.80,TRAILING_STOP,84
NOTUSDT,LONG,2024-06-03 02:00:00,0.028878,2024-06-03 02:00:00,0.026567760000000003,6925.687374471916,-16.00,-8.00,STOP_LOSS,0
1000PEPEUSDT,SHORT,2024-06-08 02:15:00,0.01116,2024-06-08 02:15:00,0.0120528,17921.14695340502,-16.00,-8.00,STOP_LOSS,0
NOTUSDT,SHORT,2024-06-08 02:15:00,0.01724,2024-06-08 02:15:00,0.0186192,11600.928074245941,-16.00,-8.00,STOP_LOSS,0
WIFUSDT,SHORT,2024-06-08 02:15:00,2.599,2024-06-08 02:20:00,2.8069200000000003,76.95267410542516,-16.00,-8.00,STOP_LOSS,1
1000SHIBUSDT,SHORT,2024-06-08 02:15:00,0.021469,2024-06-08 02:50:00,0.02318652,9315.757603987146,-16.00,-8.00,STOP_LOSS,7
XRPUSDT,SHORT,2024-06-08 02:15:00,0.4549,2024-06-08 03:25:00,0.49129200000000006,439.6570674873598,-16.00,-8.00,STOP_LOSS,14
CRVUSDT,SHORT,2024-06-13 11:00:00,0.246,2024-06-13 11:05:00,0.243,813.0081300813008,2.44,1.22,TRAILING_STOP,1
JTOUSDT,SHORT,2024-06-18 09:45:00,2.2935,2024-06-18 11:15:00,2.47698,87.20296490080663,-16.00,-8.00,STOP_LOSS,18
ETHFIUSDT,SHORT,2024-06-18 09:45:00,2.973,2024-06-18 12:20:00,3.21084,67.27211570803902,-16.00,-8.00,STOP_LOSS,31
ORDIUSDT,SHORT,2024-06-18 09:45:00,35.324,2024-06-18 12:40:00,38.14992,5.661872947571057,-16.00,-8.00,STOP_LOSS,35
1000SATSUSDT,SHORT,2024-06-18 09:45:00,0.0001572,2024-06-18 12:40:00,0.000169776,1272264.631043257,-16.00,-8.00,STOP_LOSS,35
JUPUSDT,SHORT,2024-06-18 09:45:00,0.729,2024-06-18 13:00:00,0.78732,274.34842249657066,-16.00,-8.00,STOP_LOSS,39
LSKUSDT,LONG,2024-06-28 11:00:00,1.1691,2024-06-28 11:15:00,1.075572,171.0717646052519,-16.00,-8.00,STOP_LOSS,3
ZENUSDT,LONG,2024-07-01 15:15:00,7.574,2024-07-01 15:20:00,6.9680800000000005,26.406126221283337,-16.00,-8.00,STOP_LOSS,1
PEOPLEUSDT,SHORT,2024-07-05 02:15:00,0.05983,2024-07-05 03:45:00,0.05999,3342.804613070366,-0.53,-0.27,TRAILING_STOP,18
USTCUSDT,LONG,2024-07-17 02:45:00,0.0219,2024-07-17 10:00:00,0.02195,9132.420091324202,0.46,0.23,TRAILING_STOP,87
