symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
ICXUSDT,LONG,2024-01-02 08:05:00,0.2963,2024-01-02 08:20:00,0.305074,337.4957813027337,2.96,2.96,TRAILING_STOP,3
BANDUSDT,LONG,2024-01-02 20:45:00,2.4444,2024-01-02 22:45:00,2.3242,40.90983472426772,-4.92,-4.92,MAX_HOLD,24
MAVUSDT,LONG,2024-01-03 15:30:00,0.5441,2024-01-03 16:40:00,0.511454,183.7897445322551,-6.00,-6.00,STOP_LOSS,14
SKLUSDT,LONG,2024-01-03 17:15:00,0.10298,2024-01-03 18:40:00,0.09680119999999999,971.0623422023693,-6.00,-6.00,STOP_LOSS,17
PEOPLEUSDT,LONG,2024-01-03 20:35:00,0.01618,2024-01-03 20:40:00,0.01572,6180.469715698393,-2.84,-2.84,TRAILING_STOP,1
CHRUSDT,LONG,2024-01-03 20:30:00,0.2362,2024-01-03 20:50:00,0.249704,423.3700254022015,5.72,5.72,TRAILING_STOP,4
POWRUSDT,LONG,2024-01-03 20:35:00,0.4098,2024-01-03 21:10:00,0.385212,244.0214738897023,-6.00,-6.00,STOP_LOSS,7
SEIUSDT,LONG,2024-01-03 21:15:00,0.8031,2024-01-03 21:20:00,0.754914,124.51749470800647,-6.00,-6.00,STOP_LOSS,1
ENSUSDT,LONG,2024-01-03 21:45:00,11.619,2024-01-03 21:50:00,11.988,8.606592649969878,3.18,3.18,TRAILING_STOP,1
YGGUSDT,LONG,2024-01-03 22:05:00,0.5469,2024-01-03 22:15:00,0.514086,182.848784055586,-6.00,-6.00,STOP_LOSS,2
PEOPLEUSDT,LONG,2024-01-03 22:35:00,0.02469,2024-01-03 22:40:00,0.02483,4050.222762251924,0.57,0.57,TRAILING_STOP,1
POWRUSDT,LONG,2024-01-03 23:30:00,0.4713,2024-01-03 23:35:00,0.478044,212.17907914279652,1.43,1.43,TRAILING_STOP,1
SLPUSDT,LONG,2024-01-03 23:40:00,0.00394,2024-01-03 23:45:00,0.0037035999999999996,25380.71065989848,-6.00,-6.00,STOP_LOSS,1
OGNUSDT,LONG,2024-01-03 23:25:00,0.173,2024-01-03 23:55:00,0.16262,578.0346820809249,-6.00,-6.00,STOP_LOSS,6
ARPAUSDT,LONG,2024-01-04 00:10:00,0.06403,2024-01-04 00:30:00,0.0601882,1561.7679212868966,-6.00,-6.00,STOP_LOSS,4
SEIUSDT,LONG,2024-01-04 00:00:00,0.845,2024-01-04 02:00:00,0.8463,118.34319526627219,0.15,0.15,MAX_HOLD,24
LDOUSDT,LONG,2024-01-04 00:30:00,3.4613,2024-01-04 02:00:00,3.253622,28.890879149452516,-6.00,-6.00,STOP_LOSS,18
POWRUSDT,LONG,2024-01-04 04:55:00,0.5772,2024-01-04 05:05:00,0.58604,173.25017325017325,1.53,1.53,TRAILING_STOP,2
TUSDT,LONG,2024-01-04 05:10:00,0.02961,2024-01-04 06:05:00,0.027833399999999998,3377.237419790611,-6.00,-6.00,STOP_LOSS,11
ARBUSDT,LONG,2024-01-04 23:00:00,2.0424,2024-01-05 01:00:00,2.045,48.96200548374461,0.13,0.13,MAX_HOLD,24
TUSDT,LONG,2024-01-05 00:30:00,0.03156,2024-01-05 02:30:00,0.03086,3168.5678073510776,-2.22,-2.22,MAX_HOLD,24
PEOPLEUSDT,LONG,2024-01-05 18:50:00,0.03147,2024-01-05 18:55:00,0.0327222,3177.6294884016525,3.98,3.98,TRAILING_STOP,1
POWRUSDT,LONG,2024-01-05 19:30:00,0.6666,2024-01-05 19:35:00,0.69678,150.01500150015002,4.53,4.53,TRAILING_STOP,1
POLYXUSDT,LONG,2024-01-05 19:45:00,0.1926,2024-01-05 21:45:00,0.1947,519.2107995846313,1.09,1.09,MAX_HOLD,24
TRBUSDT,LONG,2024-01-05 21:55:00,153.239,2024-01-05 22:15:00,164.24506,0.6525753887717879,7.18,7.18,TRAILING_STOP,4
PEOPLEUSDT,LONG,2024-01-06 05:25:00,0.03658,2024-01-06 05:50:00,0.037210599999999996,2733.734281027884,1.72,1.72,TRAILING_STOP,5
PEOPLEUSDT,LONG,2024-01-06 16:35:00,0.0433,2024-01-06 16:40:00,0.043904,2309.4688221709007,1.39,1.39,TRAILING_STOP,1
JTOUSDT,LONG,2024-01-06 19:00:00,1.7319,2024-01-06 19:15:00,1.7766419999999998,57.74005427565102,2.58,2.58,TRAILING_STOP,3
ACEUSDT,LONG,2024-01-06 22:45:00,9.3824,2024-01-06 23:05:00,9.2421,10.65825375170532,-1.50,-1.50,TRAILING_STOP,4
GMTUSDT,LONG,2024-01-07 00:15:00,0.3331,2024-01-07 02:15:00,0.3304,300.2101471029721,-0.81,-0.81,MAX_HOLD,24
POWRUSDT,LONG,2024-01-07 02:00:00,0.9668,2024-01-07 02:20:00,0.9996,103.4340091021928,3.39,3.39,TRAILING_STOP,4
YFIUSDT,LONG,2024-01-07 00:40:00,8245,2024-01-07 02:40:00,7859,0.01212856276531231,-4.68,-4.68,MAX_HOLD,24
