symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
MOVRUSDT,SHORT,2024-01-02 08:15:00,24.814,2024-01-02 10:05:00,25.64,8.059966148142177,-6.66,-3.33,TREND_EXIT,22
WLDUSDT,LONG,2024-01-02 08:25:00,3.6473,2024-01-03 01:20:00,3.6088,54.83508348641461,-2.11,-1.06,TREND_EXIT,203
QTUMUSDT,LONG,2024-01-02 08:00:00,3.703,2024-01-03 03:25:00,3.638,54.01026194977046,-3.51,-1.76,TREND_EXIT,233
POWRUSDT,LONG,2024-01-02 12:15:00,0.3669,2024-01-03 03:35:00,0.3613,545.1076587626056,-3.05,-1.53,TREND_EXIT,184
PENDLEUSDT,SHORT,2024-01-03 03:45:00,1.235,2024-01-03 10:20:00,1.2958,161.94331983805668,-9.85,-4.92,TREND_EXIT,79
RVNUSDT,SHORT,2024-01-03 03:40:00,0.02213,2024-01-03 10:25:00,0.02243,9037.50564844103,-2.71,-1.36,TREND_EXIT,81
WOOUSDT,SHORT,2024-01-03 01:30:00,0.4245,2024-01-03 13:10:00,0.42963,471.14252061248527,-2.42,-1.21,TREND_EXIT,140
GRTUSDT,LONG,2024-01-03 13:20:00,0.21347,2024-01-03 15:25:00,0.20968,936.8997985665434,-3.55,-1.78,TREND_EXIT,25
CELRUSDT,LONG,2024-01-03 10:30:00,0.02429,2024-01-03 19:55:00,0.0223468,8233.841086867023,-16.00,-8.00,STOP_LOSS,113
ANKRUSDT,LONG,2024-01-03 10:35:00,0.03028,2024-01-03 20:00:00,0.027857600000000003,6605.019815059445,-16.00,-8.00,STOP_LOSS,113
MEMEUSDT,LONG,2024-01-03 15:35:00,0.027992,2024-01-03 20:00:00,0.02575264,7144.898542440697,-16.00,-8.00,STOP_LOSS,53
CFXUSDT,LONG,2024-01-02 08:20:00,0.1931,2024-01-03 20:05:00,0.177652,1035.732780942517,-16.00,-8.00,STOP_LOSS,429
NEARUSDT,SHORT,2024-01-03 20:10:00,3.036,2024-01-03 20:10:00,3.2788800000000005,65.87615283267458,-16.00,-8.00,STOP_LOSS,0
XRPUSDT,SHORT,2024-01-03 20:10:00,0.5116,2024-01-03 20:15:00,0.5525280000000001,390.9304143862392,-16.00,-8.00,STOP_LOSS,1
OPUSDT,SHORT,2024-01-03 20:15:00,3.3489,2024-01-03 20:35:00,3.6168120000000004,59.72110245155125,-16.00,-8.00,STOP_LOSS,4
MAGICUSDT,SHORT,2024-01-03 20:25:00,1.0172,2024-01-03 21:35:00,1.0985760000000002,196.61816751867872,-16.00,-8.00,STOP_LOSS,14
1000PEPEUSDT,SHORT,2024-01-03 20:20:00,0.0011658,2024-01-04 00:20:00,0.001259064,171556.013038257,-16.00,-8.00,STOP_LOSS,48
BLURUSDT,SHORT,2024-01-04 00:40:00,0.5134,2024-01-04 02:25:00,0.5355,389.55979742890537,-8.61,-4.30,TREND_EXIT,21
SSVUSDT,LONG,2024-01-04 02:35:00,28.47,2024-01-04 03:05:00,27.73,7.024938531787847,-5.20,-2.60,TREND_EXIT,6
SEIUSDT,LONG,2024-01-03 21:45:00,0.782,2024-01-04 18:05:00,0.7591,255.7544757033248,-5.86,-2.93,TREND_EXIT,244
BTCUSDT,SHORT,2024-01-03 20:05:00,42967.4,2024-01-04 23:30:00,44072.2,0.004654691696495483,-5.14,-2.57,TREND_EXIT,329
CRVUSDT,LONG,2024-01-04 23:40:00,0.593,2024-01-05 00:30:00,0.584,337.26812816188874,-3.04,-1.52,TREND_EXIT,10
ASTRUSDT,SHORT,2024-01-04 18:20:00,0.16917,2024-01-05 08:00:00,0.17503,1182.2427144292724,-6.93,-3.46,TREND_EXIT,164
CAKEUSDT,SHORT,2024-01-03 20:45:00,3.2155,2024-01-05 09:05:00,3.2811,62.198724926139015,-4.08,-2.04,TREND_EXIT,436
SOLUSDT,LONG,2024-01-05 00:40:00,102.273,2024-01-05 13:25:00,101.346,1.9555503407546468,-1.81,-0.91,TREND_EXIT,153
